,Load_Change,Avg_Load,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,86.55058254936169,86.99993687228721,0.5,0.5,8.629637186076664,93.77323726392196,-159.83961912405303,86.99401795545754,-166.6188384310702,45.957814422445594
1,0.7,100.97272011196488,87.44569672934242,0.5,0.5,9.478061206500042,94.04223478086743,-187.27277937259043,86.99401795545754,-194.3209961853638,49.67736032892621
2,0.8,115.39485767456803,87.81869504758834,0.5,0.5,10.30724095072273,94.25466762143326,-214.78607028088507,86.99401795545754,-222.0318646740555,52.609174640501614
3,0.85,122.60592645586964,88.01415580395265,0.5,0.5,10.856734140694732,94.32950437528133,-228.55391799650704,86.99401795545754,-235.88940338983093,53.80935348554323
4,0.9,129.81699523717123,88.16505731707281,0.5,0.5,11.279428177207341,94.40334602844544,-242.3386638305548,86.99401795545754,-249.7479919186282,54.8981426049401
5,0.95,137.0280640184728,88.2737006199063,0.5,0.5,11.575204467697285,94.46854935854907,-256.1338363282979,86.99401795545754,-263.60836721114663,55.86861580723038
6,1.0,144.23913279977435,88.42550268826973,0.5,0.5,12.074885226463548,94.52834699024703,-269.9383204683487,86.99401795545754,-277.47264949610815,56.76611395150525
7,1.05,151.45020158107593,88.59141276873446,0.5,0.5,12.691928080472557,94.58280285010308,-283.7491022620925,86.99401795545754,-291.3378871570419,57.58965617950636
8,1.1,158.6612703623775,88.73545420602568,0.5,0.5,13.268776511261406,94.6303462041962,-297.5670599937571,86.99401795545754,-305.2033882442481,58.31350913586578
9,1.15,165.87233914367908,88.79593769028588,0.5,0.5,13.474787545466004,94.67389963487801,-311.3900995127909,86.99401795545754,-319.069981192182,58.98058260967257
10,1.2,173.08340792498072,88.88397066613217,0.5,0.5,13.835712992712317,94.71323721897207,-325.2187593205089,86.99401795545754,-332.9379785827317,59.58634602824262
11,1.3,187.50554548758384,89.08126615937846,0.5,0.5,14.74590038535905,94.77781078609036,-352.89081083285413,86.99401795545754,-360.6746036195983,60.587430488590854
12,1.4,201.92768305018706,89.27069989783493,0.5,0.5,15.755555904258284,94.83065149871348,-380.57591359620994,86.99401795545754,-388.4125470979865,61.41282496622525
