,A_G,A_L,Revenue_G,Revenue_L
0,0.0,0.0,,
1,0.0,0.1,87.9632520485127,-259.5555439015097
2,0.0,0.1,128.0639712309609,-259.8235719520533
3,0.0,0.1,70.68591035544512,-261.0540486737532
4,0.0,0.1,98.1121059692046,-246.1932455294024
5,0.0,0.1,93.49516351253898,-253.62690634214837
6,0.0,0.1,135.57286240460877,-256.767194416404
7,0.0,0.1,85.08505789454448,-258.6266732553058
8,0.0,0.1,52.31389379567658,-252.93142137085965
9,0.0,0.1,120.15182479427236,-254.32820646682347
10,0.0,0.1,113.32209225430364,-256.9099321400963
11,0.0,0.1,78.0241544263079,-255.93345814453545
12,0.0,0.1,100.51877407833281,-255.03801178076858
13,0.0,0.1,76.27673780702516,-258.0110926913934
14,0.0,0.1,90.14942484709518,-251.46912767651145
15,0.0,0.1,101.91351134753481,-256.78038440122236
16,0.0,0.1,52.282392558087224,-257.03616521304417
17,0.0,0.1,101.97477821267695,-258.2002559090027
18,0.0,0.1,79.5084697875609,-251.34370121055025
19,0.0,0.1,108.26889015411307,-253.0187900271272
20,0.0,0.1,95.1628709453994,-257.8937808116866
21,0.0,0.1,131.96903515231023,-260.5823880031635
22,0.0,0.1,114.70420446822277,-256.9603529132896
23,0.0,0.1,92.70074930975966,-258.3205206926773
24,0.0,0.1,78.16638570034885,-260.2806919984088
25,0.0,0.1,139.9745126397827,-255.94593175259396
26,0.0,0.1,92.07021269523503,-261.00371121171327
27,0.0,0.1,67.05630164708336,-255.80946525441317
28,0.0,0.1,113.15443343952381,-257.07342762053077
29,0.0,0.1,95.99909567924955,-259.90248950093303
30,0.0,0.1,80.54103043407987,-253.99692876212504
31,0.0,0.1,105.6775854604994,-254.23923502344599
32,0.0,0.1,90.20081002438302,-251.51261227922873
33,0.0,0.1,108.66647379568066,-261.7106441995776
34,0.0,0.1,53.90109670646571,-254.02834156873428
35,0.0,0.1,66.98870637559993,-256.3041158258029
36,0.0,0.1,74.24991920800082,-256.82240015128326
37,0.0,0.1,89.07305303768723,-259.42030438330005
38,0.0,0.1,120.53106192438536,-260.2822931792086
39,0.0,0.1,136.30840036986217,-261.1377269341691
40,0.0,0.1,86.86923618489324,-252.93090105707793
41,0.0,0.1,99.2961555447263,-253.2889624077523
42,0.0,0.1,104.42327580365739,-259.57715546728275
43,0.0,0.1,115.6864189756354,-258.05554660525337
44,0.0,0.1,53.405947582206906,-255.94433335689837
45,0.0,0.1,78.79313552194267,-254.72574966539852
46,0.0,0.1,115.02013538737867,-255.77267373151633
47,0.0,0.1,60.68180296352036,-250.39710264403502
48,0.0,0.1,44.48459941825671,-255.98164691531997
49,0.0,0.1,108.20942890908508,-259.1950639429934
50,0.0,0.1,116.42387912330986,-256.16625641056044
51,0.0,0.1,107.83175540581759,-256.90682155963935
52,0.0,0.1,149.78825546676518,-255.67406462198133
53,0.0,0.1,102.45757902591595,-261.4947401861125
54,0.0,0.1,87.27154002770438,-260.0674072661452
55,0.0,0.1,93.94666693307772,-251.85406359097973
56,0.0,0.1,96.7288499649021,-257.60169866815164
57,0.0,0.1,115.94248379536216,-257.6339395506693
58,0.0,0.1,126.5144718298146,-259.8585662462642
59,0.0,0.1,67.75877833872346,-253.52883778358313
60,0.0,0.1,89.56660000058999,-257.4855081644802
61,0.0,0.1,64.11312934117615,-253.19869646025512
62,0.0,0.1,126.37610313176597,-253.38199388383265
63,0.0,0.1,75.81105808126962,-253.2558152218815
64,0.0,0.1,74.07151514515327,-252.49133122638327
65,0.0,0.1,83.36584364997525,-251.93093582131547
66,0.0,0.1,128.88415097283962,-258.08218619179945
67,0.0,0.1,111.29370378569632,-258.90024547770815
68,0.0,0.1,97.66052574232152,-254.4766276126166
69,0.0,0.1,94.47545796306936,-256.3909960772975
70,0.0,0.1,91.0662382204318,-253.34958308201632
71,0.0,0.1,65.60344079525362,-251.45915189655227
72,0.0,0.1,84.20037541675948,-253.9606623902319
73,0.0,0.1,88.94847832988629,-254.79808498854953
74,0.0,0.1,70.89985261938716,-252.65793859894183
75,0.0,0.1,73.66571764946632,-258.5625545356128
76,0.0,0.1,107.80995055733561,-255.10621068123024
77,0.0,0.1,85.90571732406949,-255.419124383115
78,0.0,0.1,140.0969058369099,-257.24431071118886
79,0.0,0.1,127.28862173248538,-259.08326495222497
80,0.0,0.1,120.49097547924258,-254.70519625427957
81,0.0,0.1,79.44836139963991,-255.05223924474595
82,0.0,0.1,106.4723544792879,-254.2992089760762
83,0.0,0.1,62.73683251949436,-258.81458864572016
84,0.0,0.1,108.82864101663112,-256.4179265705232
85,0.0,0.1,112.91490338098495,-259.38215323398316
86,0.0,0.1,51.3661675455228,-258.03939797719727
87,0.0,0.1,80.3506490403048,-257.6738030414275
88,0.0,0.1,99.23386375654472,-259.212661971034
89,0.0,0.1,122.59898879548021,-253.99035152900922
90,0.0,0.1,93.33396632179836,-257.48276303972887
91,0.0,0.1,115.40123432677635,-262.4136483585951
92,0.0,0.1,103.99808230677424,-256.58306296588233
93,0.0,0.1,73.39268719073158,-254.86104383965147
94,0.0,0.1,101.33444592312678,-255.53843790208114
95,0.0,0.1,79.50505258736476,-257.0777283027186
96,0.0,0.1,108.88671337687292,-258.1452023903361
97,0.0,0.1,101.59737628184463,-256.33435144593085
98,0.0,0.1,108.64225464971241,-255.32239092073863
99,0.0,0.1,93.68874764421449,-259.84679072506344
100,0.0,0.1,151.23096277519386,-257.0928911609931
101,0.0,0.1,86.2171081343978,-252.95299673413567
102,0.0,0.1,96.08420860660357,-253.92690292093596
103,0.0,0.1,60.779008130354086,-256.8683159673095
104,0.0,0.1,125.76000031098678,-258.5847956576246
105,0.0,0.1,57.84237269138978,-256.5843104581128
106,0.0,0.1,100.61327776981264,-257.3135027291533
107,0.0,0.1,58.943576939343906,-252.81059505588996
108,0.0,0.1,73.45858525177445,-264.1548908585306
109,0.0,0.1,120.9886304166645,-260.5279608279784
110,0.0,0.1,81.65090458814434,-257.7948392420424
111,0.0,0.1,117.72993528969401,-257.76566249954124
112,0.0,0.1,120.98361574611712,-256.0277968175202
113,0.0,0.1,58.57461299596379,-254.6125430142479
114,0.0,0.1,93.54497024834211,-256.9903649753927
115,0.0,0.1,95.07132698842082,-257.62831521021064
116,0.0,0.1,103.04284137593974,-257.83406398838724
117,0.0,0.1,111.57288309965436,-255.31881463887817
118,0.0,0.1,83.94871756576217,-259.72379006868596
119,0.0,0.1,119.52401383685469,-260.07296101166077
120,0.0,0.1,142.48507465592195,-259.61138845643785
121,0.0,0.1,109.68818805762037,-261.04866549837527
122,0.0,0.1,134.49196565603955,-254.7398392487298
123,0.0,0.1,93.21481920250658,-261.1524152580252
124,0.0,0.1,69.3996365983075,-255.5250885095912
125,0.0,0.1,105.42316362382286,-257.91510308466206
126,0.0,0.1,74.29054248057999,-259.25577375982584
127,0.0,0.1,126.91355755834934,-258.1264116737872
128,0.0,0.1,57.83922904611012,-253.8347643310334
129,0.0,0.1,93.10851982270273,-257.6600775216785
130,0.0,0.1,98.06915273653361,-257.683338860396
131,0.0,0.1,121.81019898068845,-258.37669815089606
132,0.0,0.1,111.3846779000433,-252.77864324031
133,0.0,0.1,52.54234913055096,-262.8320922659581
