,Load_CaptureRate_Change,Avg_Load_Capture_Rate,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,0.6248006030020277,87.4404961682896,0.5,0.5,8.7398860902395,94.07438507719019,-160.43924448581083,84.73398740026025,-169.77964216661255,87.24302879936212
1,0.7,0.7289080694909512,88.05809068452398,0.5,0.5,9.726801253418135,94.29108705202044,-188.45735352704835,84.73398740026025,-198.01445300536108,91.33815209602007
2,0.8,0.8330155359798745,88.60152893663191,0.5,0.5,10.799483581095538,94.42373336884955,-216.564178744578,84.73398740026025,-226.25392472479118,93.89117704842519
3,0.85,0.8850692692243364,88.77173898457221,0.5,0.5,11.155923547218064,94.47593171052506,-230.63669449930023,84.73398740026025,-240.37863871194776,94.90547799331878
4,0.9,0.9371230024687982,88.92516216962433,0.5,0.5,11.494344056062271,94.51891319150744,-244.720397099062,84.73398740026025,-254.5053228777498,95.74477261732153
5,0.95,0.9891767357132598,89.03548203888508,0.5,0.5,11.741087890367329,94.55708284280986,-258.80969141518955,84.73398740026025,-268.6327868683109,96.49320417728636
6,1.0,1.0412304689577219,89.11818478005404,0.5,0.5,11.921044869942891,94.59237614364508,-272.9027841216698,84.73398740026025,-282.76117290436883,97.18782900327139
7,1.05,1.0932842022021831,89.34478330554927,0.5,0.5,12.53591784115032,94.62535781319956,-286.99939331023035,84.73398740026025,-296.8907637460486,97.83920887227534
8,1.1,1.145337935446645,89.48494541790056,0.5,0.5,12.931303782310524,94.6522949348186,-301.1020587343902,84.73398740026025,-311.0203654027563,98.37281575891569
9,1.15,1.1973916686911066,89.60893964125572,0.5,0.5,13.299392968094828,94.67718276841354,-315.20695048402206,84.73398740026025,-325.15014587495,98.86713435571791
10,1.2,1.2494454019355685,89.72689009214186,0.5,0.5,13.672036858194623,94.69920348565697,-329.3147102380767,84.73398740026025,-339.2799263471437,99.30553186452897
11,1.3,1.353552868424492,89.86357105918584,0.5,0.5,14.102830726952245,94.7396561181055,-357.5356949008775,84.73398740026025,-367.5413636305687,100.11340660979364
12,1.4,1.4576603349134152,90.12847250918482,0.5,0.5,15.090939777961351,94.76914228353928,-385.76770407875574,84.73398740026025,-395.80285895286977,100.70433343942679
