,Load_Change,Avg_Load,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,86.56060929400454,87.3043248289626,0.5,0.5,8.611987134841966,93.96532779835418,-160.60039044567893,84.73398740026025,-169.8317308590393,85.21764568641088
1,0.7,100.97740611971606,87.92172411813566,0.5,0.5,9.517429290062832,94.23129966704388,-188.56280763713949,84.73398740026025,-198.06011991431865,90.19894039152851
2,0.8,115.3942029454276,88.48967949304625,0.5,0.5,10.56172625789449,94.39742263976105,-216.62654400759521,84.73398740026025,-226.28997926695467,93.38198081992876
3,0.85,122.60260135828335,88.64980907325572,0.5,0.5,10.867846425653424,94.46314946114579,-230.67777379944835,84.73398740026025,-240.40693526480638,94.65658861299096
4,0.9,129.8109997711391,88.91397380584792,0.5,0.5,11.46928616537442,94.51554713873668,-244.74237351420513,84.73398740026025,-254.52393319278912,95.67891033154162
5,0.95,137.01939818399487,89.0355161136062,0.5,0.5,11.741116642922742,94.55713097839572,-258.8182999215763,84.73398740026025,-268.6414433729377,96.49414851134456
6,1.0,144.22779659685062,89.11818478005404,0.5,0.5,11.921044869942891,94.59237614364508,-272.9027841216698,84.73398740026025,-282.76117290436883,97.18782900327139
7,1.05,151.43619500970638,89.36864185000948,0.5,0.5,12.610360255050766,94.62337231157923,-286.9915772041631,84.73398740026025,-296.88096212466496,97.79993401503667
8,1.1,158.64459342256214,89.48105811124697,0.5,0.5,12.925681616942304,94.64751263275153,-301.087231823186,84.73398740026025,-311.0007570491247,98.2779824702817
9,1.15,165.8529918354179,89.58789872127717,0.5,0.5,13.238971190040143,94.67047448390696,-315.18413269344865,84.73398740026025,-325.12061978533,98.7337756453014
10,1.2,173.06139024827368,89.72356835844056,0.5,0.5,13.672039794467137,94.69124480187784,-329.28338368268794,84.73398740026025,-339.2406410904189,99.1469750229405
11,1.3,187.47818707398517,89.87913964076311,0.5,0.5,14.176764081978146,94.72907531761791,-357.48559571680255,84.73398740026025,-367.4806837005966,99.90178313974684
12,1.4,201.89498389969674,90.04916220979364,0.5,0.5,14.787359804009766,94.75693529641384,-385.69821506203573,84.73398740026025,-395.72116247616884,100.45947969774362
