,A_G,A_L,Revenue_G_CP,Revenue_L_CP
0,0.5,0.5,95.74632759970591,-256.98007893776503
1,0.5,0.5,102.10346233090972,-274.37297159007477
2,0.5,0.5,103.51814211890931,-262.55990716396377
3,0.5,0.5,97.13252210277217,-256.45560191439637
4,0.5,0.5,99.21679508856994,-261.4902775034064
5,0.5,0.5,98.28328303701399,-254.53280293600162
6,0.5,0.5,98.00422331037888,-263.4925377430425
7,0.5,0.5,104.01919082937418,-265.17653764912285
8,0.5,0.5,104.21346333307969,-260.6557570767459
9,0.5,0.5,101.84085965739864,-263.29972581055335
10,0.5,0.5,103.1513923389577,-264.9737821035944
11,0.5,0.5,96.89900356559964,-261.76106416002085
12,0.5,0.5,102.40229095401995,-262.51626272346033
13,0.5,0.5,100.00281277276078,-267.3095110211213
14,0.5,0.5,97.84395890190339,-273.3946841117781
15,0.5,0.5,96.30631491344404,-263.702967458758
16,0.5,0.5,89.00464831287262,-268.5934956968349
17,0.5,0.5,92.7112821128427,-258.1222996577164
18,0.5,0.5,95.81652143591545,-265.0644257443259
19,0.5,0.5,101.94656566419332,-250.60242816469193
20,0.5,0.5,104.92882330747571,-271.9715514989367
21,0.5,0.5,96.05114961147373,-270.12169541461986
22,0.5,0.5,97.16774904023133,-274.3257548676835
23,0.5,0.5,101.5607104167181,-259.87976886446916
24,0.5,0.5,94.97852472739444,-268.5619668358254
25,0.5,0.5,99.98065005124181,-275.68036379478616
26,0.5,0.5,94.36021469037128,-261.39776462147915
27,0.5,0.5,92.79676391195255,-266.51055783625986
28,0.5,0.5,103.38996635422197,-262.17490026349293
29,0.5,0.5,101.50640544028765,-260.74212825316243
30,0.5,0.5,104.09735687244734,-267.06817149930237
31,0.5,0.5,97.38540718529732,-268.8788566454199
32,0.5,0.5,98.99685163168144,-254.22883322875876
33,0.5,0.5,99.4721718119763,-268.8110746692373
34,0.5,0.5,94.59016585027622,-250.6543698152677
35,0.5,0.5,101.15318504885455,-269.52277891562943
36,0.5,0.5,103.92730366944437,-250.0831142994532
37,0.5,0.5,104.6221231362223,-269.04329501000774
38,0.5,0.5,94.01191736615775,-257.5523013586698
39,0.5,0.5,99.98933072573274,-260.4108273482539
40,0.5,0.5,98.2591884342782,-252.36614737351204
41,0.5,0.5,98.62058580492354,-264.3085788652812
42,0.5,0.5,103.06186738064426,-251.49278804882263
43,0.5,0.5,94.63055530531312,-246.00671026105002
44,0.5,0.5,99.08910158135184,-266.47832949591236
45,0.5,0.5,93.13860980472428,-257.99111490661227
46,0.5,0.5,96.14637314220596,-255.31399321749498
47,0.5,0.5,97.4612141393829,-273.3731291148305
48,0.5,0.5,103.10303820986096,-271.5284967370824
49,0.5,0.5,108.7046751751786,-260.56833745663874
50,0.5,0.5,98.85115467629002,-259.68358110230065
51,0.5,0.5,103.30567202590161,-267.1491452980585
52,0.5,0.5,103.93635387733177,-259.9827830049355
53,0.5,0.5,103.6419763955946,-266.1351080744283
54,0.5,0.5,103.04599728154963,-279.2410177055578
55,0.5,0.5,99.70299354752913,-250.68803906336873
56,0.5,0.5,103.87061778777434,-271.1734597483314
57,0.5,0.5,104.09759177316212,-261.0988736254234
58,0.5,0.5,97.1877130733752,-261.10389091630293
59,0.5,0.5,92.9655164269181,-262.2492059762313
60,0.5,0.5,100.2123462966245,-255.39198095949374
61,0.5,0.5,95.31959842521377,-254.6850098020235
62,0.5,0.5,93.42947718689291,-262.6179015700906
63,0.5,0.5,103.35159745832529,-271.6948699843479
64,0.5,0.5,106.4306447627753,-261.9711974899707
65,0.5,0.5,90.77557087767343,-265.0767525331974
66,0.5,0.5,105.18404586664124,-266.9272404340754
67,0.5,0.5,104.47321296545311,-267.221728679746
68,0.5,0.5,109.50743749706214,-262.7306190694993
69,0.5,0.5,96.22731781535289,-263.58613525390194
70,0.5,0.5,99.00046551811417,-253.97467129445428
71,0.5,0.5,95.64616685234122,-251.55987633136422
72,0.5,0.5,98.82116441582188,-259.8251615397468
73,0.5,0.5,102.35017731637754,-258.6842409848558
74,0.5,0.5,97.4242570376312,-261.4765902151679
75,0.5,0.5,93.75461057900131,-251.14306430104355
76,0.5,0.5,100.08124182895428,-255.37759990148143
77,0.5,0.5,107.47315672505702,-263.62872856755536
78,0.5,0.5,108.03913772595453,-270.4646364356404
79,0.5,0.5,95.02583411020997,-256.14040140046905
80,0.5,0.5,100.62888358864542,-253.72397217513262
81,0.5,0.5,98.97221298862036,-264.8709913697242
82,0.5,0.5,99.13806300992314,-265.8952862632711
83,0.5,0.5,104.56489951885645,-261.8025263460285
84,0.5,0.5,97.4512932879673,-255.92918941992755
85,0.5,0.5,110.19223407225411,-261.74961727056217
86,0.5,0.5,101.27401677170946,-260.44885444992076
87,0.5,0.5,96.61906543176016,-270.4171725685705
88,0.5,0.5,96.30478950035614,-265.4707390220796
89,0.5,0.5,96.35897634052732,-266.1316925158686
90,0.5,0.5,104.79658025201611,-259.6061590935916
91,0.5,0.5,101.73130013731296,-268.3322463658175
92,0.5,0.5,96.2415181504524,-250.2855556134735
93,0.5,0.5,96.91142492729739,-263.75473199635945
94,0.5,0.5,101.93867316278187,-250.14584737968158
95,0.5,0.5,101.48502064548462,-265.94531868616485
96,0.5,0.5,103.19835821101178,-260.6892910820808
97,0.5,0.5,96.03378734257907,-254.30658240094678
98,0.5,0.5,89.9022180213868,-255.81603978982108
99,0.5,0.5,93.70719427708178,-261.7777794496699
100,0.5,0.5,98.1058978467212,-267.5999451031998
101,0.5,0.5,98.90415612222156,-273.91024400566704
102,0.5,0.5,107.05424140685383,-250.98605896702674
103,0.5,0.5,101.09044361722049,-260.63786075329745
104,0.5,0.5,96.05968022119767,-258.31712350495576
105,0.5,0.5,102.998698117797,-269.8406213849294
106,0.5,0.5,102.1416030536158,-258.8361714360161
107,0.5,0.5,103.03459253418575,-261.57016704626534
108,0.5,0.5,96.05398538755769,-258.784380191929
109,0.5,0.5,94.0115500549359,-258.15698850998393
110,0.5,0.5,89.68654138639174,-266.42076628494175
111,0.5,0.5,102.6851985538995,-265.31959706484025
112,0.5,0.5,101.06184650672547,-261.70262975240996
