,CaptureRate_Change,Avg_G_Capture_Rate,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,-0.4,0.3586784071447023,89.95252474464118,0.5,0.5,12.068091019505855,57.178948996429625,-273.0333822046462,54.51967185043297,-275.6926593474486,7.071754930725728
1,-0.3,0.4184581416688194,89.83848473201299,0.5,0.5,12.407349398447304,67.07730196517842,-272.74794042650166,64.1325830478933,-275.6926593474486,8.67136951259995
2,-0.2,0.4782378761929364,89.72196104023242,0.5,0.5,12.658754112220423,76.96121762249373,-272.46027437084683,73.72883266338857,-275.6926593474486,10.448312580405124
3,-0.15,0.5081277434549949,89.67965260050138,0.5,0.5,13.021673160103438,81.89771610956142,-272.31680265930015,78.5218594201676,-275.6926593474486,11.396408383120871
4,-0.1,0.5380176107170535,89.62388430972179,0.5,0.5,13.138707317515747,86.82785571249056,-272.1732532657248,83.30844963660668,-275.6926593474486,12.38621914752157
5,-0.05,0.5679074779791119,89.57044248670076,0.5,0.5,13.29840054136754,91.75000225313315,-272.02918425303017,88.08652715947018,-275.6926593474486,13.421049764656612
6,0.0,0.5977973452411705,89.51322886292229,0.5,0.5,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
7,0.05,0.6276872125032289,89.46792896648661,0.5,0.5,13.642897154021766,101.58457295412889,-271.7434216185909,97.63533521710507,-275.6926593474486,15.596478671283176
8,0.1,0.6575770797652875,89.4132487993707,0.5,0.5,13.744030090711423,106.49478644239734,-271.5988042385733,102.40627899519788,-275.6926593474486,16.73775710039241
9,0.15,0.687466947027346,89.36802466582905,0.5,0.5,13.95960976212067,111.40621623415143,-271.46043825492677,107.17399514424272,-275.6926593474486,17.911695364927454
10,0.2,0.7173568142894045,89.31561739794545,0.5,0.5,14.034263261220865,116.30948973658195,-271.32244526785814,111.93927566710833,-275.6926593474486,19.09877105723803
11,0.3,0.7771365488135216,89.2159429853713,0.5,0.5,14.252759432613178,126.10572896803075,-271.04773689846024,121.4608065060159,-275.6926593474486,21.575304617623146
12,0.4,0.8369162833376386,89.11443333908265,0.5,0.5,14.389360899787084,135.89355576298786,-270.7745992071754,130.9754956141423,-275.6926593474486,24.187315585503537
