,A_G,A_L,Revenue_G_CP,Revenue_L_CP
0,0.5,0.5,91.99368744050274,-263.5859792934997
1,0.5,0.5,97.79022503095344,-229.54982575204585
2,0.5,0.5,95.0144054429237,-285.3825437612317
3,0.5,0.5,97.37717221952823,-245.458311779726
4,0.5,0.5,96.1570766195091,-256.2888194491185
5,0.5,0.5,96.00132828347704,-217.19566029527223
6,0.5,0.5,97.13847946862042,-270.6800948293817
7,0.5,0.5,94.18858408618229,-294.8061116613654
8,0.5,0.5,97.54012868569681,-231.71651035824792
9,0.5,0.5,94.48474608542469,-238.07258597121736
10,0.5,0.5,95.06139474224337,-272.97069846047094
11,0.5,0.5,96.41207527478038,-250.93131297721618
12,0.5,0.5,94.04861960283002,-275.78297448719826
13,0.5,0.5,95.77727178900729,-257.09697461842353
14,0.5,0.5,97.65455462912753,-252.5214276828151
15,0.5,0.5,97.37860691351123,-302.1323795684682
16,0.5,0.5,93.03037133275085,-249.25584902907661
17,0.5,0.5,95.54864529970021,-267.3838767226896
18,0.5,0.5,93.01829778614773,-237.76819765916187
19,0.5,0.5,97.36594124825595,-260.09685111454314
20,0.5,0.5,96.2495130539433,-224.86286590479656
21,0.5,0.5,94.7727050639249,-237.02885350899172
22,0.5,0.5,94.28764215468127,-259.90741353759887
23,0.5,0.5,91.14217259011006,-273.2564788881701
24,0.5,0.5,93.08438860620868,-209.05580771901998
25,0.5,0.5,97.88247146707927,-266.8159699835575
26,0.5,0.5,97.00461769111635,-285.75778129844616
27,0.5,0.5,97.20632717208791,-241.12532135309485
28,0.5,0.5,96.45906967105176,-260.3624634927353
29,0.5,0.5,94.93978186645064,-268.3956801944958
30,0.5,0.5,94.51032513924457,-243.07197470219117
31,0.5,0.5,94.30896562274148,-255.6207678775872
32,0.5,0.5,95.61389712459777,-248.6580675284947
33,0.5,0.5,95.90911119151215,-296.0363560537807
34,0.5,0.5,93.68831924847605,-283.003728698679
35,0.5,0.5,94.32730494089553,-276.89978588417796
36,0.5,0.5,94.29912854691139,-264.64637989252424
37,0.5,0.5,96.08402557972512,-235.83525683454835
38,0.5,0.5,97.42161381207029,-222.25094037637723
39,0.5,0.5,96.67596434001665,-262.73762921220134
40,0.5,0.5,96.01631086512526,-250.00911772815124
