,Load_CaptureRate_Change,Avg_Load_Capture_Rate,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,0.6250124922451032,87.09283605392748,0.5,0.5,8.733077292443042,93.86310930087939,-159.75409989940715,86.99401795545754,-166.62319124478222,47.18441591142801
1,0.7,0.72917100878831,87.53234353094268,0.5,0.5,9.638369553608891,94.10381320409647,-187.21627842337037,86.99401795545754,-194.32607367927375,50.54918852921746
2,0.8,0.833329525331517,87.84840576680521,0.5,0.5,10.355326601080673,94.28295835793952,-214.74731440207364,86.99401795545754,-222.03625480677874,53.1286522071384
3,0.85,0.8854087836031204,88.04834050272461,0.5,0.5,10.930207160681324,94.35681535996858,-228.53069367100085,86.99401795545754,-235.89349043143238,54.21078087764762
4,0.9,0.9374880418747239,88.18680510740414,0.5,0.5,11.327617981603353,94.4216433481263,-242.32510301644035,86.99401795545754,-249.75272836228265,55.16961862600835
5,0.95,0.9895673001463274,88.31229261121473,0.5,0.5,11.711047687900253,94.47799246891364,-256.1281938481248,86.99401795545754,-263.6121683611413,56.00987451477059
6,1.0,1.0416465584179306,88.42550268826973,0.5,0.5,12.074885226463548,94.52834699024703,-269.9383204683487,86.99401795545754,-277.47264949610815,56.76611395150525
7,1.05,1.0937258166895345,88.5895348692549,0.5,0.5,12.69936034923913,94.57502829217957,-283.75323319131223,86.99401795545754,-291.33424353231845,57.47171775796476
8,1.1,1.1458050749611377,88.67060249869922,0.5,0.5,12.9886283387314,94.61633022704366,-297.57447069938553,86.99401795545754,-305.19678295921346,58.099644275947846
9,1.15,1.1978843332327411,88.78050161181487,0.5,0.5,13.439480299055244,94.65436376949177,-311.3994066421567,86.99401795545754,-319.05975246602117,58.68089806589482
10,1.2,1.2499635915043446,88.86862302582944,0.5,0.5,13.810332757227465,94.68810842992657,-325.22867723976356,86.99401795545754,-332.9227677201998,59.19902827522718
11,1.3,1.3541221080475516,89.04124526227707,0.5,0.5,14.60025615019452,94.74231368607747,-352.90207735621027,86.99401795545754,-360.65037302834367,60.03608627597206
12,1.4,1.4582806245907582,89.21043953506677,0.5,0.5,15.48069621344366,94.78715540293521,-380.5863316701274,86.99401795545754,-388.37946909258443,60.73299108028969
