,A_G,A_L,Revenue_G_CP,Revenue_L_CP
0,0.5,0.5,91.3877028895219,-265.4123751534557
1,0.5,0.5,102.34760556484964,-240.3209481993698
2,0.5,0.5,97.84575313378748,-277.8499292067873
3,0.5,0.5,94.4198555708727,-255.62036170125003
4,0.5,0.5,95.85312875920286,-263.32509492756367
5,0.5,0.5,95.2251539126526,-235.8757419587501
6,0.5,0.5,96.30016463558616,-244.68307255031135
7,0.5,0.5,99.64042575120524,-258.8277730191039
8,0.5,0.5,98.36215036043293,-272.35317472558603
9,0.5,0.5,97.19852679229487,-277.1404988017927
10,0.5,0.5,98.68923265735972,-251.5395081281739
11,0.5,0.5,94.076785257448,-241.52078710693817
12,0.5,0.5,98.54502090244179,-262.9284077377731
13,0.5,0.5,99.03675749851685,-236.10255640126434
14,0.5,0.5,96.19690041164061,-249.07096594833854
15,0.5,0.5,92.75860552607809,-259.869143184549
16,0.5,0.5,91.5173344173214,-227.98042860767467
17,0.5,0.5,85.30813900705425,-272.45497536310813
18,0.5,0.5,92.46443499770423,-248.40932611761903
19,0.5,0.5,96.97834998885371,-244.7705980270611
20,0.5,0.5,102.65060245613238,-266.255036485762
21,0.5,0.5,92.21793703077991,-268.98206566561163
22,0.5,0.5,98.79906397147438,-231.92689698580995
23,0.5,0.5,99.09262377051483,-256.18496736537475
24,0.5,0.5,90.34218073444535,-280.32397063047904
25,0.5,0.5,95.76101801428194,-284.7530948048157
26,0.5,0.5,88.55788077019392,-273.66829681533187
27,0.5,0.5,92.8625693843232,-244.89452502075633
28,0.5,0.5,98.70341299321434,-271.83965159694236
29,0.5,0.5,100.83496510199815,-243.84260807795522
30,0.5,0.5,100.49275712037097,-283.80988862344987
31,0.5,0.5,97.69696628371807,-241.67266960635212
32,0.5,0.5,96.74013039605063,-255.6835966006269
33,0.5,0.5,98.06400989317022,-240.45900135360094
34,0.5,0.5,88.64352266368303,-256.50784274327157
35,0.5,0.5,99.62223998736411,-233.3539027285405
36,0.5,0.5,99.95930318985907,-274.55598856409995
37,0.5,0.5,101.57363824713508,-250.43391347590446
38,0.5,0.5,91.12952566185517,-251.53734903931752
39,0.5,0.5,95.84060331161133,-262.06860596316415
40,0.5,0.5,93.52054683056564,-230.7026503653846
41,0.5,0.5,95.23386461916317,-237.20356857595473
42,0.5,0.5,97.31140239642309,-267.24216416888873
43,0.5,0.5,88.03116744886408,-262.1445310892041
