,Production_Change,Avg_Production,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,56.71813628423623,0.5,0.5,89.43849025878694,10.122863407978343,56.69985734368143,-272.8100204299308,52.037228275635286,-277.47264949610815,21.74010981747547
1,0.7,66.16858126760305,0.5,0.5,89.14473337169863,10.602628392483169,66.18947338591784,-272.072730147432,60.78955404008326,-277.47264949610815,29.15912895686263
2,0.8,75.61902625096987,0.5,0.5,88.9199495179256,11.258963475072582,75.65561215986875,-271.34613608100904,69.52909871590748,-277.47264949610815,37.5341668022138
3,0.85,80.34424874265328,0.5,0.5,88.83235618143192,11.650915861388961,80.38160276841116,-270.9895492933573,73.89570809669479,-277.47264949610815,42.048705061225014
4,0.9,85.06947123433667,0.5,0.5,88.69899890513146,11.823510575360867,85.10055624892884,-270.63415411781926,78.26206087853522,-277.47264949610815,46.765018984886666
5,0.95,89.7946937260201,0.5,0.5,88.55835069544747,11.966470513514489,89.80369038749718,-270.2718519471141,82.62829909677009,-277.47264949610815,51.66854001934087
6,1.0,94.5199162177035,0.5,0.5,88.42550268826973,12.074885226463548,94.52834699024703,-269.9383204683487,86.99401795545754,-277.47264949610815,56.76611395150525
7,1.05,99.24513870938691,0.5,0.5,88.31914031435706,12.305723394447675,99.23709843325028,-269.5944489402561,91.35889751369862,-277.47264949610815,62.0660468635261
8,1.1,103.97036120107032,0.5,0.5,88.21087061031906,12.51043325033827,103.94265259664968,-269.253361746928,95.72336420053904,-277.47264949610815,67.55669642113057
9,1.15,108.69558369275371,0.5,0.5,88.13352571531944,12.828064896352949,108.64398642787691,-268.916479757293,100.08781668908611,-277.47264949610815,73.20804059920759
10,1.2,113.42080618443714,0.5,0.5,87.99556050807442,12.872783443724042,113.34140584762676,-268.58221592540735,104.4509722473458,-277.47264949610815,79.03980933802414
11,1.3,122.87125116780395,0.5,0.5,87.80725665980155,13.293938196687249,122.72488566289641,-267.9229616668898,113.17519769799846,-277.47264949610815,91.19653893121875
12,1.4,132.32169615117076,0.5,0.5,87.64282009997154,13.853412491860224,132.04849707345,-267.2291389485789,121.89724674412575,-277.47264949610815,103.98443981904255
