,Load_Gen_Ratio,Avg_Load,Avg_Gen,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,56.796553875779836,94.66092312629972,85.92007105601925,0.5,0.5,6.585447562240141,93.25860447255968,-102.82604189375412,84.73398740026025,-111.3506589560723,72.66909614425253
1,0.8,75.72873850103979,94.66092312629972,87.16250279310906,0.5,0.5,8.274123144370577,93.995631782838,-139.20590117494572,84.73398740026025,-148.4675452747631,85.778054050508
2,1.0,94.66092312629972,94.66092312629972,87.95971930602863,0.5,0.5,9.505986710739286,94.30381388806595,-176.01460509830275,84.73398740026025,-185.58443159345387,91.58157907700196
3,1.2,113.59310775155967,94.66092312629972,88.56758516275323,0.5,0.5,10.666700793327745,94.46119247570911,-212.97411282227645,84.73398740026025,-222.7013179121446,94.61851872009736
4,1.4,132.52529237681958,94.66092312629972,89.03381223905482,0.5,0.5,11.7410869201039,94.55364874135702,-249.99854290274396,84.73398740026025,-259.81820423083536,96.42574872612214
5,1.6,151.45747700207957,94.66092312629972,89.31946493015577,0.5,0.5,12.475021031991158,94.61384708891299,-287.055230834059,84.73398740026025,-296.9350905495262,97.6116277323886
