,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,NashProductLog,Nash_Product,ThreatPoint_G,ThreatPoint_L
0,0.0,0.0,,,,,,,,
1,0.0,0.1,,,,,,,,
2,0.0,0.25,88.34785054727321,17.80879710706413,101.37883883231754,-267.03906447820145,0.8708387104125344,2.3889136202641765,98.98992521307864,-269.427987658593
3,0.0,0.5,89.11350314133236,17.80879710705369,103.7677524505221,-270.9148129856312,1.5639858909724482,4.777827240528203,98.98992521307864,-275.6926593474486
4,0.0,0.75,89.87915573488215,17.80879710705293,106.15666606713847,-274.7905614914728,1.9694509990806521,7.166740860792588,98.98992521307864,-281.9573310363042
5,0.0,0.9,90.33854729065843,17.80879710705201,107.59001423600472,-277.11601059387414,2.151772555874551,8.600089032950626,98.98992521307864,-285.71613404961755
6,0.0,1.0,90.6448083276365,17.808797107051205,108.5455796812723,-278.6663099948318,2.2571330715323925,9.555654481056397,98.98992521307864,-288.2220027251598
7,0.1,0.0,,,,,,,,
8,0.1,0.1,,,,,,,,
9,0.1,0.25,88.48376897459958,16.164758688850533,99.88755938406884,-267.3048002666302,0.7529144509154408,2.1231789089146047,97.76437199710924,-269.427987658593
10,0.1,0.5,89.25804163008092,17.097068417263614,102.25117170406038,-271.205859637378,1.5011356874159794,4.486781759521716,97.76437199710924,-275.6926593474486
11,0.1,0.75,90.0081448161544,17.533453939240054,104.6346729244508,-275.08703009964245,1.9272039100834788,6.870273457886449,97.76437199710924,-281.9573310363042
12,0.1,0.9,90.47386784344329,17.537592178169383,106.066938633062,-277.4135673813776,2.1165607022822206,8.302533442649072,97.76437199710924,-285.71613404961755
13,0.1,1.0,90.78910856243971,17.56019917038628,107.04569196477864,-278.98835965781825,2.225428721870305,9.257450824889329,97.76437199710924,-288.2220027251598
14,0.25,0.0,,,,,,,,
15,0.25,0.1,,,,,,,,
16,0.25,0.25,88.54771341051625,13.373836054168539,97.8294910993068,-267.5245387346016,0.6436618349889305,1.9034382098686158,95.92604217315514,-269.427987658593
17,0.25,0.5,89.43630755225868,15.687170246663575,100.07787971785453,-271.55090600936336,1.422335113947697,4.146792376035909,95.92604217315514,-275.6926593474486
18,0.25,0.75,90.22778148598806,16.50600668989663,102.40739629079755,-275.4771153689569,1.8688416245568027,6.480784867496511,95.92604217315514,-281.9573310363042
19,0.25,0.9,90.69688519608654,16.7237229448809,103.82277633814557,-277.8193997470168,2.06644079327169,7.896667170230055,95.92604217315514,-285.71613404961755
20,0.25,1.0,91.0068464605332,16.842203166659463,104.76936453288312,-279.3786803218969,2.1796586397735522,8.843286996970436,95.92604217315514,-288.2220027251598
21,0.5,0.0,,,,,,,,
22,0.5,0.1,87.4911181704609,7.474977475723219,93.97373279842179,-264.55822662113724,0.10549972779721739,1.1112658020331674,92.86215913323164,-265.66918464527964
23,0.5,0.25,88.29167841230606,9.628404536520382,94.8235628948343,-267.47251355610234,0.6721465467470283,1.958436687856056,92.86215913323164,-269.427987658593
24,0.5,0.5,89.51322886292229,13.373835963087979,96.66905698534245,-271.8857614993749,1.336809010510577,3.8068764005570506,92.86215913323164,-275.6926593474486
25,0.5,0.75,90.44589730748385,15.089791201851734,98.86607367351772,-275.9534164859481,1.792407683396771,6.003890545829534,92.86215913323164,-281.9573310363042
26,0.5,0.9,90.95454139538585,15.508174035604167,100.23377947382315,-278.34451367707646,1.9976287886603399,7.37155584192322,92.86215913323164,-285.71613404961755
27,0.5,1.0,91.28674784266414,15.687174802108236,101.15574999278695,-279.92841183085335,2.115479032369488,8.293557697296691,92.86215913323164,-288.2220027251598
28,0.75,0.0,,,,,,,,
29,0.75,0.1,87.21776873305734,7.234002156449454,91.2209577735114,-264.2466391276624,0.3524957413211742,1.4226135972813245,89.79827609330815,-265.66918464527964
30,0.75,0.25,87.99228428455194,8.491012010140608,91.99003645572057,-267.23622729770807,0.7847010412788649,2.1917515995228722,89.79827609330815,-269.427987658593
31,0.75,0.5,89.27646620557162,10.764339475034996,93.56446526643673,-271.92647018769117,1.3260596572684746,3.766174095032131,89.79827609330815,-275.6926593474486
32,0.75,0.75,90.47403406038283,13.373870573431544,95.49757938607803,-276.23594072089844,1.7422778880110017,5.7103361252918035,89.79827609330815,-281.9573310363042
33,0.75,0.9,91.06887645144147,14.241675579701754,96.79442876409004,-278.71998139817566,1.9453563771593207,6.996124669851549,89.79827609330815,-285.71613404961755
34,0.75,1.0,91.44075177502008,14.789949291729467,97.67907605039852,-280.3412027268578,2.064418801700308,7.8807163074594015,89.79827609330815,-288.2220027251598
35,0.9,0.0,86.35898070128037,5.576819562794305,89.15510621771831,-261.9681608051574,0.17827602261128536,1.1951551655601498,87.95994626935406,-263.16331596973737
36,0.9,0.1,87.01688932240144,6.9543923752200705,89.57327553870654,-264.0558553806798,0.4782959115028397,1.6133228135347175,87.95994626935406,-265.66918464527964
37,0.9,0.25,87.78489234222887,7.979625425799305,90.31679479886829,-267.07113913873826,0.8573213553518064,2.3568390963970383,87.95994626935406,-269.427987658593
38,0.9,0.5,89.1223910616831,10.068137680687151,91.8060878109498,-271.8465178170702,1.3470664550115448,3.8461261810415563,87.95994626935406,-275.6926593474486
39,0.9,0.75,90.40730319529065,12.407353656736761,93.59286826304148,-276.3244090252889,1.728624312709068,5.6328994675997475,87.95994626935406,-281.9573310363042
40,0.9,0.9,91.05805359440646,13.37383599980099,94.81236240249841,-278.863717922356,1.9245956777329047,6.8523775369016375,87.95994626935406,-285.71613404961755
