,Price_Change,Avg_G_Price,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,0.08534924054542375,86.95334002064745,0.5,0.5,12.100239812859089,94.04446563917912,-264.516218463078,89.80809998520402,-268.75258409110035,17.946793844234435
1,0.7,0.08542036377397304,87.29475866707088,0.5,0.5,11.949798632985724,94.1773924995665,-265.83718369750727,89.13492153883769,-270.920494364189,25.63244642110552
2,0.8,0.0854914870025223,87.68203347488016,0.5,0.5,11.98134370497265,94.33935018792037,-267.2201469274634,88.43617925246421,-273.09927764880604,34.70551359997716
3,0.85,0.08552704861679694,87.86613004309254,0.5,0.5,12.022414096545653,94.38357718455366,-267.886335231797,88.0804643262125,-274.1894480769069,39.72923162158763
4,0.9,0.0855626102310716,88.04054232284419,0.5,0.5,11.984358252881897,94.43528809427255,-268.5684276751961,87.72152461283392,-275.2821911345569,45.07461993647359
5,0.95,0.08559817184534622,88.1958900991649,0.5,0.5,11.937216057585276,94.45026372605852,-269.21994322442106,87.35965759447919,-276.3754613706176,50.7369608420483
6,1.0,0.08563373345962086,88.42550268826975,0.5,0.5,12.074885226463543,94.52834699024703,-269.9383204683487,86.99401795545754,-277.47264949610815,56.76611395150525
7,1.05,0.08566929507389551,88.64285958229217,0.5,0.5,12.214502921143353,94.57217982210742,-270.625985657084,86.62612438319456,-278.5720411340062,63.139797340300866
8,1.1,0.08570485668817014,88.84132590804447,0.5,0.5,12.270121079762983,94.61391657049248,-271.3154621210392,86.25626085740774,-279.67311784033086,69.85040907033314
9,1.15,0.08574041830244479,89.03026415680547,0.5,0.5,12.286421442042787,94.65102890755608,-272.0072914689654,85.88406291067581,-280.7742573810941,76.85969204744111
10,1.2,0.08577597991671942,89.22763513469167,0.5,0.5,12.334064948950786,94.68456905487994,-272.6976024047516,85.51006643432535,-281.87566977052654,84.20420309892886
11,1.3,0.0858471031452687,89.58780339849201,0.5,0.5,12.307462578733238,94.74795594726301,-274.080888936395,84.74951592490213,-284.0793288787874,99.96880208118775
12,1.4,0.08591822637381796,89.97068969328659,0.5,0.5,12.356908194059713,94.80140730216266,-275.4655169753445,83.98197299348803,-286.28495131177795,117.06015906006051
