,Production_Change,Avg_Production,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,94.65046771663779,0.5,0.5,89.09650742957098,11.88655965477543,94.66877610704105,-272.8835717710946,84.7911749638497,-282.76117290436883,97.567004246018
1,0.7,94.65308156905328,0.5,0.5,89.11190647788601,11.92288253376265,94.65382210030654,-272.8882957272949,84.78094491701714,-282.76117290436883,97.47370381495178
2,0.8,94.65569542146878,0.5,0.5,89.13607362936263,11.982814606499671,94.6372395358592,-272.89416574651716,84.77023236964762,-282.76117290436883,97.35783033558342
3,0.85,94.65700234767651,0.5,0.5,89.11532831780808,11.921044445696118,94.62743446117774,-272.8968185279375,84.76308012100841,-282.76117290436883,97.30548690611862
4,0.9,94.65830927388426,0.5,0.5,89.11639668911585,11.921057331123208,94.6159843002728,-272.8990402241392,84.75385163888521,-282.76117290436883,97.26166081663077
5,0.95,94.65961620009199,0.5,0.5,89.1173944110499,11.92105859544304,94.60439529589493,-272.901123090208,84.74434551157236,-282.76117290436883,97.22058204352643
6,1.0,94.66092312629972,0.5,0.5,89.11818478005404,11.921044869942891,94.59237614364508,-272.9027841216698,84.73398740026025,-282.76117290436883,97.18782900327139
7,1.05,94.66223005250747,0.5,0.5,89.11879164564805,11.921048123606127,94.57995103273109,-272.90404915490245,84.72282732713,-282.76117290436883,97.1628881799085
8,1.1,94.66353697871521,0.5,0.5,89.12966749717476,11.950083388982675,94.56719873650616,-272.9051181141026,84.71114371196632,-282.76117290436883,97.14181833774343
9,1.15,94.66484390492295,0.5,0.5,89.19713969103452,12.140346780531104,94.55384486713037,-272.9067881376895,84.69946009680262,-282.76117290436883,97.10889916571463
10,1.2,94.66615083113068,0.5,0.5,89.24030023878922,12.264296262391754,94.54036188379791,-272.90858750175823,84.68777648163892,-282.76117290436883,97.07343911128599
11,1.3,94.66876468354616,0.5,0.5,89.31489851251308,12.482081741346992,94.51158241436721,-272.9135843749683,84.66399387773109,-282.76117290436883,96.974999915634
12,1.4,94.67137853596165,0.5,0.5,89.29845457357712,12.424994665220327,94.48012851500633,-272.9184944005899,84.63745012634473,-282.76117290436883,96.8783189956889
