,KG_Factor,KL_Factor,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,-0.05,-0.05,0.5,0.5,85.1519110226141,13.382521467098268,91.92476800274241,-258.65555169040147,88.0896028629945,-262.4907168370141,14.708491675464881
1,-0.05,-0.02,0.5,0.5,86.56285292028015,17.20366249390456,95.44199960715696,-263.0594526233332,88.0896028629945,-270.41184937849266,54.05773796442517
2,-0.05,-0.01,0.5,0.5,86.98547682366403,17.989719885939827,96.78251673592732,-264.359340481662,88.0896028629945,-273.05225436297064,75.56675167503818
3,-0.05,0.0,0.5,0.5,87.39518090691072,18.728308441774605,98.17696965586032,-265.6052925421297,88.0896028629945,-275.6926593474486,101.75496893943124
4,-0.05,0.01,0.5,0.5,87.77790405346988,19.82145552710095,99.64132343082235,-266.78134373359023,88.0896028629945,-278.3330643319266,133.442248429603
5,-0.05,0.02,0.5,0.5,88.10252585401533,21.751486488021126,101.22800376401233,-267.8496558278278,88.0896028629945,-280.9734693164046,172.4259229631072
6,-0.05,0.05,0.5,0.5,89.00576493994541,29.999999435040554,107.6309133276016,-269.3533738406427,88.0896028629945,-288.89468426983854,381.8628139821808
7,-0.02,-0.05,0.5,0.5,85.99811036404876,8.029861568742884,92.35140097807502,-261.0891815717385,90.95371812522714,-262.4907168370141,1.9589018079372869
8,-0.02,-0.02,0.5,0.5,87.76883636707969,13.378912128616273,94.77199873657335,-266.5935687911431,90.95371812522714,-270.41184937849266,14.579266735356347
9,-0.02,-0.01,0.5,0.5,88.2771882368698,14.9446770207284,95.85564732014424,-268.1503251540736,90.95371812522714,-273.05225436297064,24.028909900509387
10,-0.02,0.0,0.5,0.5,88.7374390105837,15.909293263145718,97.02826963412006,-269.61810781609404,90.95371812522714,-275.6926593474486,36.90017617063783
11,-0.02,0.01,0.5,0.5,89.17502172015416,17.205038619681726,98.29016286701795,-270.9966195702485,90.95371812522714,-278.3330643319266,53.823421595251915
12,-0.02,0.02,0.5,0.5,89.59716569539594,18.00849521591202,99.63431197133846,-272.2928754388156,90.95371812522714,-280.9734693164046,75.3527097943906
13,-0.02,0.05,0.5,0.5,90.71135076260406,21.90488564331134,104.10842037279849,-275.7709121385829,90.95371812522714,-288.89468426983854,172.63931475164276
14,-0.01,-0.05,0.5,0.5,,,,,,,
15,-0.01,-0.02,0.5,0.5,88.07150093317988,11.411937603897709,94.76800048714841,-267.5518596859379,91.90801080781705,-270.41184937849266,8.179541003700619
16,-0.01,-0.01,0.5,0.5,88.640107222197,13.35986740780234,95.72062493309961,-269.23964023444296,91.90801080781705,-273.05225436297064,14.536026480676526
17,-0.01,0.0,0.5,0.5,89.14774254760951,14.921701363243315,96.80456917511108,-270.7961010455212,91.90801080781705,-275.6926593474486,23.97628352424581
18,-0.01,0.01,0.5,0.5,89.60795422970443,15.891929890562526,97.9773055403888,-272.2637695806473,91.90801080781705,-278.3330643319266,36.836338664364824
19,-0.01,0.02,0.5,0.5,90.05648010001372,17.204412404658147,99.27139545424163,-273.6746820421182,91.90801080781705,-280.9734693164046,53.74377815299945
20,-0.01,0.05,0.5,0.5,91.25568748980523,19.954026414212123,103.45763725897442,-277.34505778045207,91.90801080781705,-288.89468426983854,133.39387160280575
21,0.0,-0.05,0.5,0.5,,,,,,,
22,0.0,-0.02,0.5,0.5,88.35438336084617,9.628404536520378,94.92933965147903,-268.3512260455913,92.86215913323164,-270.41184937849266,4.25968040921965
23,0.0,-0.01,0.5,0.5,88.94059938083359,11.352289018383509,95.7158857532789,-270.1985277309425,92.86215913323164,-273.05225436297064,8.143755656156545
24,0.0,0.0,0.5,0.5,89.51322886292229,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
