,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,NashProductLog,Nash_Product,ThreatPoint_G,ThreatPoint_L
0,0.0,0.0,,,,,,,,
1,0.0,0.1,85.55407275033537,17.480384938524853,97.77748115883671,-257.63317064014785,0.6597082975175645,1.9342280329831532,95.8432531390248,-259.5674262480625
2,0.0,0.25,86.50143011013195,17.48038489923347,100.67882316386016,-261.446245921696,1.5759990247845646,4.835570060179662,95.8432531390248,-266.2818849660796
3,0.0,0.5,88.08035904304337,17.480384899026323,105.51439317911017,-267.8013713977568,2.2691462053880174,9.671140120780091,95.8432531390248,-277.47264949610815
4,0.0,0.75,89.65928797293547,17.480384902209,110.34996318781188,-274.1564968672454,2.674611314050296,14.506710189208512,95.8432531390248,-288.6634140261367
5,0.0,0.9,90.60664532712455,17.480384898894712,113.25130517720288,-277.9695721331476,2.8569328707002146,17.408052224542825,95.8432531390248,-295.37787274415393
6,0.0,1.0,91.2430551515547,17.480413499074483,115.20038230544841,-280.5264711621295,2.962300233332432,19.342412686042955,95.8432531390248,-299.8541785561653
7,0.1,0.0,,,,,,,,
8,0.1,0.1,85.6231014777992,12.07488524177762,95.58027190950706,-258.0605604427443,0.41002700395399116,1.5068584757003967,94.07340610231134,-259.5674262480625
9,0.1,0.25,86.74146385797023,16.689881346700542,98.33275535885959,-262.02253570830646,1.4491123910557069,4.259332215444464,94.07340610231134,-266.2818849660796
10,0.1,0.5,88.33523414449799,17.069951291115395,103.12761192069603,-268.3843323295993,2.2051095709622768,9.071245458498575,94.07340610231134,-277.47264949610815
11,0.1,0.75,89.92621918454262,17.191896742410606,107.96275818786363,-274.7524401139928,2.6319002641526517,13.900158794729514,94.07340610231134,-288.6634140261367
12,0.1,0.9,90.8864204820945,17.213624139332552,110.87228276529335,-278.5789960585305,2.8213080173195006,16.798809441480227,94.07340610231134,-295.37787274415393
13,0.1,1.0,91.51917504653133,17.24045132393237,112.80499291623559,-281.1225916103205,2.930203593071621,18.731443700647695,94.07340610231134,-299.8541785561653
14,0.25,0.0,83.72891187178672,6.005783699731323,92.67475126079867,-253.83520989238517,0.2279425173722659,1.2560131244223518,91.41863554724117,-255.09112043605103
15,0.25,0.1,84.70229366621993,7.140814025221512,93.50730860579462,-257.48792219688966,0.7343291962374737,2.084083512443059,91.41863554724117,-259.5674262480625
16,0.25,0.25,86.67400193326735,12.074885242088325,95.18580006507074,-262.5147204526244,1.3263177358175393,3.767146189211034,91.41863554724117,-266.2818849660796
17,0.25,0.5,88.65887197222608,16.373407222208666,99.68066393192561,-269.21062115012046,2.1116580495819885,8.261928621646803,91.41863554724117,-277.47264949610815
18,0.25,0.75,90.27457766752599,16.82597394197943,104.46467355078633,-275.6173760151759,2.5684739687226585,13.045900790097077,91.41863554724117,-288.6634140261367
19,0.25,0.9,91.22864342008316,16.927478609521867,107.32745394853137,-279.424779564067,2.76826315606579,15.93094040980819,91.41863554724117,-295.37787274415393
20,0.25,1.0,91.87558481287263,16.97591353436135,109.27553438302986,-281.9972796553062,2.882385309485483,17.856816453670554,91.41863554724117,-299.8541785561653
