,Production_Change,Avg_Production,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,56.80700928544175,0.5,0.5,90.33145940324842,9.618371400449016,56.74140426129425,-276.7577294221297,50.737960790928156,-282.76117290436883,36.041333573160244
1,0.7,66.27048774565624,0.5,0.5,89.84465952549351,9.84850342344422,66.21944903037561,-275.7823753378012,59.24065142783147,-282.76117290436883,48.703615726202905
2,0.8,75.73396620587074,0.5,0.5,89.73496356910566,10.990513229559712,75.68748116029755,-274.8144715790633,67.74077974047758,-282.76117290436883,63.15006270469068
3,0.85,80.46570543597798,0.5,0.5,89.60672055538505,11.327086942079141,80.41758813338646,-274.3328682388984,71.98928345545856,-282.76117290436883,71.03631963898587
4,0.9,85.19744466608525,0.5,0.5,89.55849470606752,11.87552227336364,85.14568525031184,-273.85318044752717,76.23769261773694,-282.76117290436883,79.35233117657839
5,0.95,89.92918389619248,0.5,0.5,89.33030195006464,11.87953793751347,89.87180084035637,-273.37547382117873,80.48610178001532,-282.76117290436883,88.09134706574125
6,1.0,94.66092312629972,0.5,0.5,89.11818478005404,11.921044869942891,94.59237614364508,-272.9027841216698,84.73398740026025,-282.76117290436883,97.18782900327139
7,1.05,99.39266235640697,0.5,0.5,89.02419182691992,12.280718585332298,99.31053332253447,-272.43168792001757,88.98104834776683,-282.76117290436883,106.69825994294435
8,1.1,104.12440158651421,0.5,0.5,88.99298234047691,12.805385667902868,104.02652215596036,-271.96204189146044,93.22739110634907,-282.76117290436883,116.62123103031922
9,1.15,108.85614081662146,0.5,0.5,88.85945061026258,13.01988911692336,108.73899129600613,-271.4955709403956,97.47338932220424,-282.76117290436883,126.91378772140308
10,1.2,113.58788004672874,0.5,0.5,88.74684543804466,13.280103578495527,113.44789165757776,-271.0326687780064,101.7193875380594,-282.76117290436883,137.55780896183012
11,1.3,123.05135850694322,0.5,0.5,88.40564965599532,13.430977387132126,122.84999489369642,-270.1169007601645,110.20572274039606,-282.76117290436883,159.877618171714
12,1.4,132.51483696715772,0.5,0.5,88.23351887267427,14.039517154096933,132.23393946446689,-269.2185105815148,118.6912768744575,-282.76117290436883,183.40370640884484
