,Price_Change,Avg_G_Price,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,0.051664732989969625,54.593554905300365,0.5,0.5,12.45604343379099,56.94799908745533,-167.50585067591913,49.15126185873069,-175.3025878865138,60.789111272426155
1,0.7,0.06015698310738245,63.05785884713598,0.5,0.5,12.377451622030472,66.37104706576189,-193.10310620557448,58.63348258741081,-200.8406705897243,59.86990332775217
2,0.8,0.06864923322479526,71.5163627731799,0.5,0.5,12.277402122617149,75.77493306143126,-218.71227215449886,68.10539553280702,-226.3818096794438,58.82180587475694
3,0.85,0.07289535828350165,75.75145532676854,0.5,0.5,12.299259492411403,80.44694525969076,-231.49520582320142,72.83341356566456,-239.15373443801354,58.30845033847876
4,0.9,0.07714148334220805,80.00418324127789,0.5,0.5,12.312356355559197,85.1601559301564,-244.32217504475335,77.55629701208242,-251.92603396445043,57.818670458315
5,0.95,0.08138760840091445,84.22265996843461,0.5,0.5,12.226123762569962,89.84573399055824,-257.12910726579025,82.27636926495175,-264.6984719911908,57.295282347696855
6,1.0,0.08563373345962086,88.42550268826973,0.5,0.5,12.074885226463548,94.52834699024703,-269.9383204683487,86.99401795545754,-277.47264949610815,56.76611395150525
7,1.05,0.08987985851832726,92.62937638187351,0.5,0.5,11.930386348355244,99.20917106339536,-282.74926882275724,91.70941493216642,-290.24902432671183,56.24633732350138
8,1.1,0.09412598357703368,96.87818534557002,0.5,0.5,11.9726484862072,103.88859139908197,-295.5621523833123,96.4217739758937,-303.02896986939345,55.75336290083753
9,1.15,0.09837210863574007,101.12953871254096,0.5,0.5,12.027952482375097,108.56513263463587,-308.3757291883303,101.13129653646337,-315.80956531430286,55.261919341153686
10,1.2,0.10261823369444649,105.3717499480467,0.5,0.5,12.046301861102615,113.23816291131811,-321.19200093055565,105.83904262014102,-328.5911212179903,54.74698105561778
11,0.3,,,0.5,0.5,,,,,,
12,0.4,,,0.5,0.5,,,,,,
