,A_G,A_L,tau_G,tau_L,StrikePrice,ContractAmount,Utility_G,Utility_L,NashProductLog,Nash_Product,ThreatPoint_G,ThreatPoint_L
0,0.1,0.1,1.0,0.0,86.42846769601427,12.068259132673713,97.32816627496713,-259.810293468632,4.001989704097127,54.706892342594884,93.32617829675118,-259.8102859788999
1,0.1,0.1,0.75,0.25,85.95743036078596,12.138060048041392,96.32767296289464,-258.80975863154396,0.8244545892763356,2.28063654242687,93.32617829675118,-259.8102859788999
2,0.1,0.1,0.5,0.5,85.48705634788521,12.1380673108693,95.32738010102366,-257.8094657680697,0.6936525520658803,2.0010109984552584,93.32617829675118,-259.8102859788999
3,0.1,0.1,0.25,0.75,85.0165018841617,12.138060048053362,94.32670564234115,-256.8087913109905,0.8244545892763241,2.2806365424268438,93.32617829675118,-259.8102859788999
4,0.1,0.1,0.0,1.0,84.5458093923706,12.136673178382138,93.32617034761581,-255.80825632242977,4.002031594376376,54.70918407759233,93.32617829675118,-259.8102859788999
5,0.1,0.5,1.0,0.0,93.18857193192868,16.934255742639024,117.41977041966561,-282.79899487642194,24.09359212291446,29088016521.202698,93.32617829675118,-282.79899488642144
6,0.1,0.5,0.75,0.25,91.14233619303138,16.992660165188415,111.39709849491159,-276.7752744623963,2.619645021238386,13.730848560246152,93.32617829675118,-282.79899488642144
7,0.1,0.5,0.5,0.5,89.11903451032443,16.992660164746184,105.37349860559145,-270.75167457307606,2.488832254095403,12.047199835012757,93.32617829675118,-282.79899488642144
8,0.1,0.5,0.25,0.75,87.09573282785868,16.9926601644411,99.3498987173191,-264.7280746848035,2.6196442900365495,13.73083852022814,93.32617829675118,-282.79899488642144
9,0.1,0.5,0.0,1.0,85.07633668284944,17.042368916828416,93.32617830675167,-258.70604940124906,24.092945485172436,29069213192.005886,93.32617829675118,-282.79899488642144
10,0.1,0.9,1.0,0.0,99.93984116666485,17.13007013728326,137.9136231504109,-305.78772137497083,44.58744577878207,2.3124995871974138e+19,93.32617829675118,-305.78770379394297
11,0.1,0.9,0.75,0.25,96.21586477123708,17.147249587746877,126.7667353103207,-294.64070270663564,3.235109706836425,25.40915918441717,93.32617829675118,-305.78770379394297
12,0.1,0.9,0.5,0.5,92.51015257886407,17.14723042566676,115.63402125489915,-283.5079886370645,3.104307474534804,22.293774621448218,93.32617829675118,-305.78770379394297
13,0.1,0.9,0.25,0.75,88.821704700398,17.147230425666784,104.55320542686827,-272.4271728090318,3.2351111226283344,25.409195158524636,93.32617829675118,-305.78770379394297
14,0.1,0.9,0.0,1.0,85.08569799882501,17.161432020059042,93.32617830675218,-261.2002300659821,44.58747372796108,2.3125642205655663e+19,93.32617829675118,-305.78770379394297
15,0.5,0.1,1.0,0.0,86.45369106803714,6.548861179765666,93.75612377666121,-259.8102934960742,9.026016551572823,8316.664496526497,84.73010890231342,-259.8102859788999
16,0.5,0.1,0.75,0.25,84.49086165807333,6.548861179765666,91.50405088524886,-257.55822060466204,1.6377743270850473,5.143708549987041,84.73010890231342,-259.8102859788999
17,0.5,0.1,0.5,0.5,82.520282105419,6.548822133418387,89.24311257955888,-255.2972823046567,1.506952933940718,4.512958539692034,84.73010890231342,-259.8102859788999
18,0.5,0.1,0.25,0.75,80.5533694382876,6.548861179765661,86.98632792709833,-253.04049764651188,1.6377750670654585,5.143712356232017,84.73010890231342,-259.8102859788999
19,0.5,0.1,0.0,1.0,78.58558085345341,6.547751091730582,84.73009205385213,-250.78426193487553,9.02602482607709,8316.733313087076,84.73010890231342,-259.8102859788999
20,0.5,0.5,1.0,0.0,93.86255398576664,12.115570740129344,104.74018890056347,-282.7989948764223,20.01008880478993,490084706.6240835,84.73010890231342,-282.79899488642144
21,0.5,0.5,0.75,0.25,91.50920889942958,12.13801564310025,99.73752035655362,-277.7962963221789,2.433868342229042,11.402907220481664,84.73010890231342,-282.79899488642144
22,0.5,0.5,0.5,0.5,89.15407865838023,12.138071067214602,94.72910567909233,-272.7878815910946,2.303091231125318,10.005062662407893,84.73010890231342,-282.79899488642144
23,0.5,0.5,0.25,0.75,86.80460813587625,12.138015083982554,89.73280950590294,-267.7915854721453,2.433868013503971,11.402903472060798,84.73010890231342,-282.79899488642144
24,0.5,0.5,0.0,1.0,84.4392124872385,12.120456309810066,84.7301015474836,-262.7888980876023,20.010105349725336,490092815.11097497,84.73010890231342,-282.79899488642144
25,0.5,0.9,1.0,0.0,100.60967619425381,15.976472851337464,123.78905424980802,-305.78770527524273,39.05894543521808,9.185112320802645e+16,84.73010890231342,-305.78770379394297
26,0.5,0.9,0.75,0.25,97.12240706310847,15.970080778054525,114.02419183853586,-296.0228308008183,3.102723328725628,22.258485990359258,84.73010890231342,-305.78770379394297
27,0.5,0.9,0.5,0.5,93.63250323552455,15.970080842073676,104.25958697150611,-286.2582259337893,2.9719112759871944,19.52920965834803,84.73010890231342,-305.78770379394297
28,0.5,0.9,0.25,0.75,90.14259940533185,15.970080768701214,94.49498210685866,-276.49362106913946,3.1027233291190592,22.258485999116438,84.73010890231342,-305.78770379394297
29,0.5,0.9,0.0,1.0,86.6628626325149,15.993048626181526,84.73010891231509,-266.72891165516546,39.05879213877776,9.183704383698586e+16,84.73010890231342,-305.78770379394297
30,0.9,0.1,1.0,0.0,86.45415108790851,6.351505759219442,90.67431488859432,-259.81029615134696,14.54028588628752,2064267.2654753996,76.13403950787567,-259.8102859788999
31,0.9,0.1,0.75,0.25,83.18741999705057,6.351491254124458,87.03915768735831,-256.1751389519976,2.1145641701673674,8.28597370452146,76.13403950787567,-259.8102859788999
