,A_G,A_L,tau_G,tau_L,StrikePrice,ContractAmount,Utility_G,Utility_L,NashProductLog,Nash_Product,ThreatPoint_G,ThreatPoint_L
0,0.5,0.5,1.0,0.0,93.83837251764055,11.920524813126608,104.4507646422444,-282.7611737367272,19.716776820804903,365499994.0243657,84.73398740026025,-282.76117290436883
1,0.5,0.5,0.75,0.25,91.47826609537204,11.921044868942301,99.5215642409413,-277.8319722189682,2.4191335109942953,11.23611912192027,84.73398740026025,-282.76117290436883
2,0.5,0.5,0.5,0.5,89.11818478005404,11.921044869942891,94.59237614364508,-272.9027841216698,2.288321475040731,9.85837625507605,84.73398740026025,-282.76117290436883
3,0.5,0.5,0.25,0.75,86.75810346551847,11.921044870731274,89.66318804740241,-267.9735960254255,2.4191335110020615,11.236119122007533,84.73398740026025,-282.76117290436883
4,0.5,0.5,0.0,1.0,84.39802139362428,11.92105182141608,84.7339874102603,-263.0443953733617,19.716777531007153,365500253.6033763,84.73398740026025,-282.76117290436883
