,Production_Change,Avg_Production,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,94.51991621770348,0.5,0.5,89.49980687208222,13.138754503716363,96.92869944425713,-271.88763199145046,93.12367207923546,-275.6926593474486,14.478233214229073
1,0.7,94.51991621770348,0.5,0.5,89.5011119225725,13.175006170257754,96.87249638788239,-271.8851334877669,93.06497053411229,-275.6926593474486,14.497253149636428
2,0.8,94.51991621770348,0.5,0.5,89.50780754699362,13.298456112514446,96.81046599353826,-271.8832446087079,93.00105125511723,-275.6926593474486,14.511640650517155
3,0.85,94.51991621770348,0.5,0.5,89.51233431896911,13.373857488807955,96.77656363501757,-271.88366262070053,92.96756689744406,-275.6926593474486,14.508456105611653
4,0.9,94.51991621770348,0.5,0.5,89.51268205785112,13.373854793575592,96.74135893492507,-271.8844777675887,92.93317735808729,-275.6926593474486,14.502246933675599
5,0.95,94.51991621770348,0.5,0.5,89.51114696274301,13.341255928701022,96.70585544433541,-271.8852435209832,92.89843961294858,-275.6926593474486,14.496415294357318
6,1.0,94.5199162177035,0.5,0.5,89.51322886292229,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
7,1.05,94.5199162177035,0.5,0.5,89.51598875954039,13.419428556446682,96.63135755974824,-271.88640800410906,92.8251062017367,-275.6926593474486,14.487549344519465
8,1.1,94.5199162177035,0.5,0.5,89.51704096515702,13.434559683205604,96.59287337728317,-271.8869530892373,92.78716708864876,-275.6926593474486,14.483400239570194
9,1.15,94.5199162177035,0.5,0.5,89.51526994199163,13.401640759623172,96.55332951205291,-271.8869909026845,92.74766106062282,-275.6926593474486,14.48311233684191
10,1.2,94.51991621770348,0.5,0.5,89.51416529533117,13.373925994744567,96.51204416521853,-271.887943944559,92.70732876361245,-275.6926593474486,14.475859292101918
11,1.3,94.51991621770348,0.5,0.5,89.52567473889651,13.575833539793086,96.4256063650734,-271.8896449357052,92.6225919399098,-275.6926593474486,14.462918666965432
12,1.4,94.51991621770352,0.5,0.5,89.5293233835928,13.648435074605896,96.33376588966112,-271.8895191769626,92.53062570647434,-275.6926593474486,14.46387520466721
