,CaptureRate_Change,Avg_G_Capture_Rate,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,-0.4,0.35880891974803125,89.59475858625775,0.5,0.5,10.903608487449102,56.22607140248658,-272.8013970659505,51.554818973976126,-277.47264949610815,21.820599258559366
1,-0.3,0.4185560261213161,89.28263823526832,0.5,0.5,11.19436725163662,65.82403828002641,-272.08726102924965,60.438649753348706,-277.47264949610815,29.002409261122224
2,-0.2,0.4783031324946008,89.01786489103351,0.5,0.5,11.649668882013422,75.4054071302607,-271.36875449957773,69.30151191493609,-277.47264949610815,37.25753546416584
3,-0.15,0.5081766856812433,88.88244966936212,0.5,0.5,11.843453344842995,80.18622768516067,-271.00528189478814,73.72933285442122,-277.47264949610815,41.759112433454995
4,-0.1,0.5380502388678857,88.7370479163227,0.5,0.5,11.952379884692936,84.97436569511025,-270.6530099784732,78.15472576625889,-277.47264949610815,46.50748595483576
5,-0.05,0.5679237920545281,88.56189067563417,0.5,0.5,11.966470513514478,89.73736557851225,-270.27927360631924,82.57594139883687,-277.47264949610815,51.5148160306282
6,0.0,0.5977973452411705,88.42550268826973,0.5,0.5,12.074885226463548,94.52834699024703,-269.9383204683487,86.99401795545754,-277.47264949610815,56.76611395150525
7,0.05,0.6276708984278128,88.28628252653672,0.5,0.5,12.19183085339273,99.30021509882783,-269.582688097321,91.41025372753856,-277.47264949610815,62.251490657393994
8,0.1,0.6575444516144552,88.16970237111447,0.5,0.5,12.387231084755292,104.06926442102983,-269.228522105789,95.82513701024826,-277.47264949610815,67.96563659650515
9,0.15,0.6874180048010976,88.0641999437725,0.5,0.5,12.614283485570017,108.83483679641081,-268.8754083145478,100.23759562325782,-277.47264949610815,73.91255586163689
10,0.2,0.7172915579877399,87.95900278972185,0.5,0.5,12.828384906791044,113.59759022332322,-268.5240677712196,104.64900842331198,-277.47264949610815,80.07711555925066
11,0.3,0.7770386643610248,87.75106467251892,0.5,0.5,13.226089456822528,123.11248006010727,-267.82971280284187,113.46954333175282,-277.47264949610815,92.98622840869427
12,0.4,0.8367857707343096,87.49864611347805,0.5,0.5,13.404261879114584,132.608294473319,-267.1384684699357,122.2846217322968,-277.47264949610815,106.68670296068566
