,Load_Change,Avg_Load,StrikePrice,A_G,A_L,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product
0,0.6,86.54347967986466,88.88613727438741,0.5,0.5,9.3123809304906,95.84436767665301,-162.71530539653105,92.86215913323164,-165.69751394098995,8.893567799549523
1,0.7,100.96739295984209,89.07567433306488,0.5,0.5,10.186251895871488,96.11555824088504,-189.9305468170019,92.86215913323164,-193.18394593209456,10.584605777882809
2,0.8,115.3913062398195,89.24937048424523,0.5,0.5,11.327263297899691,96.33260513378087,-217.20823905586752,92.86215913323164,-220.67868503895573,12.043995382130626
3,0.85,122.60326287980823,89.33009735275229,0.5,0.5,11.980819510784034,96.4297992397972,-230.86181640103035,92.86215913323164,-234.42945652051452,12.728055976064072
4,0.9,129.81521951979693,89.39971518073105,0.5,0.5,12.529026410322532,96.51662601951514,-244.52724929256448,92.86215913323164,-248.18171617108794,13.355128194583832
5,0.95,137.02717615978565,89.46522824604058,0.5,0.5,13.074874319937647,96.59515170825196,-258.2032794899951,92.86215913323164,-261.9362720777541,13.93523361271018
6,1.0,144.23913279977435,89.51322886292229,0.5,0.5,13.373835963087979,96.66905698534245,-271.8857614993749,92.86215913323164,-275.6926593474486,14.492471241037144
7,1.05,151.4510894397631,89.57313687410019,0.5,0.5,13.941777818211662,96.73653108374191,-285.57530083999006,92.86215913323164,-289.44967278433285,15.010757987005602
8,1.1,158.6630460797518,89.62022116544131,0.5,0.5,14.343150563443357,96.79725283902684,-299.2718942046349,92.86215913323164,-303.2069879262947,15.484962535817552
9,1.15,165.87500271974054,89.66477115965847,0.5,0.5,14.740747707432076,96.85407493235623,-312.97353924929223,92.86215913323164,-316.96545503452086,15.935391691828977
10,1.2,173.08695935972924,89.70227837296932,0.5,0.5,15.039181527414279,96.90777603386256,-326.67995237757964,92.86215913323164,-330.7255692930845,16.36701616684481
11,1.3,187.51087263970666,89.77654839192294,0.5,0.5,15.70971950336173,97.00148368522778,-354.11338727967393,92.86215913323164,-358.24751615120647,17.112501139050735
12,1.4,201.9347859196841,89.87901029994872,0.5,0.5,17.078306800218616,97.0797258141248,-381.55741033514664,92.86215913323164,-385.7749767337911,17.78786751737744
