,KG_Factor,KL_Factor,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Factor
0,-0.1,-0.1,0.1,0.1,77.08642330823618,12.26823968253516,85.7854152757866,-232.41489174849204,83.80661451119275,-234.3936924673098,3.9156523753754393,Price Bias
1,-0.1,-0.05,0.1,0.1,78.98576346849376,29.999999078255037,92.84671259302239,-238.05853464741077,83.80661451119275,-247.09863268809133,81.72337295710824,Price Bias
2,-0.1,-0.01,0.1,0.1,80.67849342869945,29.99999978737481,101.74370131719805,-239.32549824016428,83.80661451119275,-257.26258486471653,321.7390798314303,Price Bias
3,-0.1,0.0,0.1,0.1,81.10167603584742,29.999999758673933,103.96794906925282,-239.64223975015472,83.80661451119275,-259.8035740497056,406.47940595013756,Price Bias
4,-0.1,0.01,0.1,0.1,81.52486043606494,29.999999954512543,106.19220637816665,-239.95899060450276,83.80661451119275,-262.3445824799462,501.11472342432387,Price Bias
5,-0.1,0.05,0.1,0.1,83.21757036494238,29.99999996033862,115.08908975613215,-241.2263225947168,83.80661451119275,-272.50879784570475,978.5932576394599,Price Bias
6,-0.1,0.1,0.1,0.1,85.33345862613714,29.99999996337988,126.2101984461504,-242.81062208518028,83.80661451119275,-285.21420605080317,1798.0639318293145,Price Bias
7,-0.05,-0.1,0.1,0.1,,,,,,,,Price Bias
8,-0.05,-0.05,0.1,0.1,81.30450619968245,12.102628834768604,90.5426855116902,-245.12338217059047,88.5674349959431,-247.09863268809133,3.9016146034232717,Price Bias
9,-0.05,-0.01,0.1,0.1,83.11008368442305,20.065752901999844,95.59759903608418,-250.23242082257838,88.5674349959431,-257.26258486471653,49.42320644533246,Price Bias
10,-0.05,0.0,0.1,0.1,83.21660736374679,29.999999341370497,97.61269040560207,-250.75831869123414,88.5674349959431,-259.8035740497056,81.81664496296088,Price Bias
11,-0.05,0.01,0.1,0.1,83.63979177613965,29.99999990724524,99.83694776311819,-251.07506971130567,88.5674349959431,-262.3445824799462,127.0019180260372,Price Bias
12,-0.05,0.05,0.1,0.1,85.33250173409348,29.999999776074482,108.73383120446589,-252.34240191185967,88.5674349959431,-272.50879784570475,406.68353049986274,Price Bias
13,-0.05,0.1,0.1,0.1,87.4483899658835,29.99999996030778,119.85493983456763,-253.92670119538303,88.5674349959431,-285.21420605080317,978.907959552446,Price Bias
14,-0.01,-0.1,0.1,0.1,,,,,,,,Price Bias
15,-0.01,-0.05,0.1,0.1,,,,,,,,Price Bias
16,-0.01,-0.01,0.1,0.1,84.6793573144274,11.97971075790832,94.34769675510549,-255.29019451337197,92.37530640673177,-257.26258486471653,3.8903236922174598,Price Bias
17,-0.01,0.0,0.1,0.1,85.30481439995982,16.17027481290714,95.4555296556316,-256.72335081191716,92.37530640673177,-259.8035740497056,9.487775228837513,Price Bias
18,-0.01,0.01,0.1,0.1,85.73491957960258,17.232836775923424,96.69380511129052,-258.0260838239011,92.37530640673177,-262.3445824799462,18.649430851769498,Price Bias
19,-0.01,0.05,0.1,0.1,87.02437211440262,29.999999674893697,103.64923177042249,-261.2348725649175,92.37530640673177,-272.50879784570475,127.1013921714213,Price Bias
20,-0.01,0.1,0.1,0.1,89.14026036306288,29.999999954494363,114.77034045510806,-262.8191719933769,92.37530640673177,-285.21420605080317,501.53755023060734,Price Bias
21,0.0,-0.1,0.1,0.1,,,,,,,,Price Bias
22,0.0,-0.05,0.1,0.1,,,,,,,,Price Bias
23,0.0,-0.01,0.1,0.1,84.62236996645987,7.327385991575589,94.62958886933737,-255.96015018095744,93.32715418383083,-257.26258486471653,1.6963361077345784,Price Bias
24,0.0,0.0,0.1,0.1,85.52103036125166,11.921044869120513,95.29883193292163,-257.8318962935799,93.32715418383083,-259.8035740497056,3.8875131601303234,Price Bias
25,0.0,0.01,0.1,0.1,86.1504338946895,16.181556448859265,96.40587604906185,-259.2658606598127,93.32715418383083,-262.3445824799462,9.478528184608914,Price Bias
26,0.0,0.05,0.1,0.1,87.44732829480462,29.999999358329134,102.37802187798087,-263.45793020321406,93.32715418383083,-272.50879784570475,81.91820554944691,Price Bias
27,0.0,0.1,0.1,0.1,89.56321653963494,29.999999951749498,113.4991305722605,-265.04222965489566,93.32715418383083,-285.21420605080317,406.90863156620685,Price Bias
28,0.01,-0.1,0.1,0.1,,,,,,,,Price Bias
29,0.01,-0.05,0.1,0.1,,,,,,,,Price Bias
30,0.01,-0.01,0.1,0.1,,,,,,,,Price Bias
31,0.01,0.0,0.1,0.1,85.4705419340747,7.335310179299956,95.57966129635591,-258.5029015648403,94.27898880925251,-259.8035740497056,1.691748915796765,Price Bias
