,A_G,A_L,tau_G,tau_L,Revenue_G,Revenue_L,CR_L_Revenue,CR_G_Revenue
0,0.5,0.5,1.0,0.0,108.77683692872687,-280.3691287817239,-189.74039056369116,18.148098710694157
1,0.5,0.5,1.0,0.0,131.70954024740414,-263.46914096849656,-172.84040275046388,41.080802029371455
2,0.5,0.5,1.0,0.0,100.6285560277519,-290.99669434605994,-200.36795612802723,9.999817809719204
3,0.5,0.5,1.0,0.0,112.86863146570607,-260.9497710259039,-170.32103280787118,22.239893247673393
4,0.5,0.5,1.0,0.0,111.63499720908466,-271.766740038694,-181.13800182066137,21.00625899105198
5,0.5,0.5,1.0,0.0,133.15461711244316,-254.34894912423837,-163.7202109062057,42.525878894410475
6,0.5,0.5,1.0,0.0,108.81439328402158,-282.35600864478283,-191.72727042675018,18.18565506598891
7,0.5,0.5,1.0,0.0,90.93873756890699,-291.55626514409005,-200.9275269260574,0.30999935087430686
8,0.5,0.5,1.0,0.0,124.8767730115574,-259.0531546841085,-168.42441646607583,34.24803479352472
9,0.5,0.5,1.0,0.0,122.15352773168917,-265.74136761748184,-175.11262939944916,31.524789513656494
10,0.5,0.5,1.0,0.0,105.63400480064777,-283.54330851887534,-192.91457030084266,15.005266582615107
11,0.5,0.5,1.0,0.0,115.99871885221677,-270.5179565546525,-179.88921833661988,25.369980634184103
12,0.5,0.5,1.0,0.0,105.8575226112081,-287.59187749557634,-196.9631392775437,15.228784393175417
13,0.5,0.5,1.0,0.0,108.2266233565791,-269.5463261859954,-178.9175879679627,17.59788513854643
14,0.5,0.5,1.0,0.0,119.024567494408,-273.89144054809555,-183.2627023300629,28.395829276375324
15,0.5,0.5,1.0,0.0,94.13177806672206,-298.885550721679,-208.25681250364633,3.503039848689383
16,0.5,0.5,1.0,0.0,115.2381424858223,-271.463620182148,-180.83488196411537,24.609404267789614
17,0.5,0.5,1.0,0.0,104.18382475234645,-276.01905617533583,-185.39031795730313,13.555086534313759
18,0.5,0.5,1.0,0.0,117.15645146085467,-261.9063513338688,-171.27761311583612,26.527713242821974
19,0.5,0.5,1.0,0.0,114.73729742699302,-277.4682072932802,-186.83946907524756,24.108559208960358
20,0.5,0.5,1.0,0.0,131.43628046117794,-260.04963331203123,-169.42089509399852,40.807542243145264
21,0.5,0.5,1.0,0.0,123.91083790921026,-266.16698635427707,-175.53824813624442,33.28209969117758
22,0.5,0.5,1.0,0.0,111.96932666112549,-277.5890980440431,-186.96035982601043,21.340588443092813
23,0.5,0.5,1.0,0.0,104.21859043860157,-286.33289673666155,-195.7041585186289,13.589852220568886
24,0.5,0.5,1.0,0.0,134.74519954442644,-250.71661865723775,-160.08788043920504,44.11646132639376
25,0.5,0.5,1.0,0.0,115.90767349389112,-284.84117201036935,-194.21243379233664,25.27893527585843
26,0.5,0.5,1.0,0.0,100.71852019073795,-289.4716837980677,-198.84294558003506,10.089781972705268
27,0.5,0.5,1.0,0.0,124.42297041816688,-268.3419645991738,-177.71322638114114,33.794232200134196
28,0.5,0.5,1.0,0.0,116.32080031201123,-280.2241941336947,-189.59545591566206,25.69206209397855
29,0.5,0.5,1.0,0.0,102.32160418846094,-275.7775025165061,-185.14876429847345,11.692865970428258
30,0.5,0.5,1.0,0.0,120.4010358172842,-268.9626853802308,-178.33394716219811,29.772297599251516
31,0.5,0.5,1.0,0.0,105.54851944601027,-266.860321700856,-176.23158348282328,14.91978122797758
32,0.5,0.5,1.0,0.0,120.65793701487826,-273.7021074187752,-183.07336920074255,30.029198796845577
33,0.5,0.5,1.0,0.0,93.46377685839957,-293.5910217206681,-202.96228350263544,2.8350386403668892
34,0.5,0.5,1.0,0.0,99.45396769551465,-288.76937714571767,-198.140638927685,8.825229477481983
35,0.5,0.5,1.0,0.0,100.84340344296862,-283.4158843862511,-192.78714616821838,10.214665224935942
36,0.5,0.5,1.0,0.0,112.80376580544781,-283.15101715106067,-192.52227893302796,22.17502758741513
37,0.5,0.5,1.0,0.0,127.19384966426341,-266.94508091908665,-176.31634270105394,36.56511144623074
38,0.5,0.5,1.0,0.0,136.11842471662808,-260.947751280935,-170.31901306290234,45.489686498595404
39,0.5,0.5,1.0,0.0,106.89702909936973,-272.95869397155445,-182.32995575352174,16.268290881337037
40,0.5,0.5,1.0,0.0,116.22457199471161,-270.2173788577376,-179.58864063970492,25.595833776678916
41,0.5,0.5,1.0,0.0,121.90374621773617,-277.0576258813615,-186.42888766332882,31.27500799970349
42,0.5,0.5,1.0,0.0,122.93008272025638,-265.29921034987433,-174.67047213184168,32.301344502223685
43,0.5,0.5,1.0,0.0,89.89594064777832,-292.4343264224698,-201.8055882044371,-0.7327975702543625
44,0.5,0.5,1.0,0.0,103.01796414102745,-278.9505782844833,-188.3218400664506,12.389225922994754
45,0.5,0.5,1.0,0.0,120.39637806074403,-261.1489164048817,-170.52017818684902,29.767639842711347
46,0.5,0.5,1.0,0.0,92.80313057622027,-282.5184302567349,-191.88969203870226,2.174392358187589
47,0.5,0.5,1.0,0.0,90.81153201392634,-302.3085795109896,-211.67984129295692,0.18279379589367295
48,0.5,0.5,1.0,0.0,119.03204417932113,-270.0176792132295,-179.38894099519678,28.403305961288453
49,0.5,0.5,1.0,0.0,122.70836031624427,-262.4507376034948,-171.82199938546216,32.079622098211594
50,0.5,0.5,1.0,0.0,117.87970247700483,-266.9547686308266,-176.32603041279393,27.25096425897214
51,0.5,0.5,1.0,0.0,139.3282495587785,-245.21405871399463,-154.58532049596195,48.69951134074582
52,0.5,0.5,1.0,0.0,122.25222311721957,-281.2893842774161,-190.66064605938345,31.62348489918689
53,0.5,0.5,1.0,0.0,113.47975984475954,-286.2756270832004,-195.6468888651677,22.85102162672686
54,0.5,0.5,1.0,0.0,110.48227348523776,-268.38967014313977,-177.7609319251071,19.853535267205075
55,0.5,0.5,1.0,0.0,114.53865203198511,-275.4115007352347,-184.782762517202,23.90991381395243
56,0.5,0.5,1.0,0.0,125.71386885498629,-267.40532461029346,-176.77658639226075,35.08513063695361
57,0.5,0.5,1.0,0.0,131.93005233235903,-265.2741467488087,-174.645408530776,41.30131411432634
58,0.5,0.5,1.0,0.0,98.60676748676373,-284.37682693162344,-193.74808871359073,7.978029268731035
59,0.5,0.5,1.0,0.0,110.42118766957975,-278.34009583347,-187.71135761543735,19.7924494515471
60,0.5,0.5,1.0,0.0,100.42121959622634,-289.5067867153053,-198.8780484972726,9.792481378193642
61,0.5,0.5,1.0,0.0,126.53963613426778,-253.54552688633444,-162.91678866830176,35.9108979162351
62,0.5,0.5,1.0,0.0,99.90571246191588,-277.35046960252777,-186.72173138449506,9.276974243883188
63,0.5,0.5,1.0,0.0,102.1526401534088,-280.5724562346388,-189.9437180166061,11.523901935376102
64,0.5,0.5,1.0,0.0,102.32625058284994,-270.89134275419013,-180.26260453615745,11.697512364817243
65,0.5,0.5,1.0,0.0,130.10296205216488,-259.30099727112474,-168.67225905309206,39.474223834132204
66,0.5,0.5,1.0,0.0,123.52395984191028,-271.13050153392214,-180.50176331588943,32.89522162387759
67,0.5,0.5,1.0,0.0,114.077490425799,-270.8935922960941,-180.26485407806138,23.448752207766304
68,0.5,0.5,1.0,0.0,113.64820270011114,-275.56374081433927,-184.93500259630656,23.019464482078448
69,0.5,0.5,1.0,0.0,113.88457903847771,-276.16792390006225,-185.53918568202954,23.255840820445016
70,0.5,0.5,1.0,0.0,96.13113200097254,-281.9868431022712,-191.35810488423851,5.502393782939876
71,0.5,0.5,1.0,0.0,108.80796897803572,-278.56825595150815,-187.93951773347547,18.17923076000305
72,0.5,0.5,1.0,0.0,107.62720305363008,-273.4768097122933,-182.84807149426064,16.998464835597403
73,0.5,0.5,1.0,0.0,101.81185246336344,-283.5699384429181,-192.9412002248854,11.183114245330756
74,0.5,0.5,1.0,0.0,105.06601610317718,-289.96285298932366,-199.33411477129096,14.437277885144496
75,0.5,0.5,1.0,0.0,118.57350909603889,-265.8697692199335,-175.24103100190084,27.944770878006217
76,0.5,0.5,1.0,0.0,106.79442197901268,-276.3078290380582,-185.6790908200255,16.165683760979988
77,0.5,0.5,1.0,0.0,137.44613247255137,-254.59353734683032,-163.96479912879767,46.81739425451869
78,0.5,0.5,1.0,0.0,130.26365374437407,-262.05829696411365,-171.42955874608094,39.634915526341395
79,0.5,0.5,1.0,0.0,126.99066980212845,-261.20489057716543,-170.57615235913278,36.36193158409578
80,0.5,0.5,1.0,0.0,105.27430059334995,-280.87817843845596,-190.2494402204233,14.645562375317269
81,0.5,0.5,1.0,0.0,116.13184945113161,-263.9587039479199,-173.32996572988722,25.503111233098934
82,0.5,0.5,1.0,0.0,95.70855209630746,-291.78630822253325,-201.15757000450054,5.079813878274777
83,0.5,0.5,1.0,0.0,121.26211481067682,-268.8514003645689,-178.2226621465362,30.633376592644126
84,0.5,0.5,1.0,0.0,119.6293490254919,-266.0965988784901,-175.46786066045746,29.00061080745924
85,0.5,0.5,1.0,0.0,91.06149288939748,-297.7347233210719,-207.10598510303925,0.4327546713648047
86,0.5,0.5,1.0,0.0,109.39271707994502,-286.7158710810677,-196.087132863035,18.763978861912335
87,0.5,0.5,1.0,0.0,115.25602175682849,-275.23481997131773,-184.60608175328508,24.62728353879581
88,0.5,0.5,1.0,0.0,124.53373651714597,-255.92509925067498,-165.29636103264232,33.9049982991133
89,0.5,0.5,1.0,0.0,109.54176295776182,-273.6905596756923,-183.06182145765965,18.913024739729124
90,0.5,0.5,1.0,0.0,128.3760542561204,-275.38846828793913,-184.75973006990648,37.74731603808772
91,0.5,0.5,1.0,0.0,116.71852158045171,-269.3035022395598,-178.67476402152712,26.089783362419027
92,0.5,0.5,1.0,0.0,99.15275621316071,-280.6211128620806,-189.9923746440479,8.524017995128034
93,0.5,0.5,1.0,0.0,119.45953975514273,-273.6635317340971,-183.0347935160644,28.830801537110048
94,0.5,0.5,1.0,0.0,104.04520367445046,-281.6178793898043,-190.98914117177162,13.416465456417782
95,0.5,0.5,1.0,0.0,120.64038987953307,-269.8988788929963,-179.2701406749636,30.011651661500395
96,0.5,0.5,1.0,0.0,116.1598330484563,-270.89680821254257,-180.26806999450986,25.531094830423612
97,0.5,0.5,1.0,0.0,119.92157736591483,-266.60171363694104,-175.97297541890836,29.29283914788214
98,0.5,0.5,1.0,0.0,114.08930417306777,-280.2473472539167,-189.61860903588402,23.46056595503508
99,0.5,0.5,1.0,0.0,142.62901904269222,-248.49094742849144,-157.86220921045873,52.00028082465955
100,0.5,0.5,1.0,0.0,111.57649843743177,-278.31238703716963,-187.68364881913695,20.947760219399086
101,0.5,0.5,1.0,0.0,114.42537375463382,-272.2680680689662,-181.6393298509335,23.79663553660113
102,0.5,0.5,1.0,0.0,97.15892707405779,-293.2482349110132,-202.61949669298053,6.53018885602512
103,0.5,0.5,1.0,0.0,127.91217381246479,-260.7369691591026,-170.10823094106993,37.2834355944321
104,0.5,0.5,1.0,0.0,94.1670468492181,-292.9089846159411,-202.2802463979084,3.5383086311854015
105,0.5,0.5,1.0,0.0,113.30546663604926,-270.0056915953899,-179.37695337735727,22.676728418016587
106,0.5,0.5,1.0,0.0,91.32973037789688,-285.19674849444294,-194.56801027641023,0.7009921598641995
107,0.5,0.5,1.0,0.0,104.13993728815964,-294.8362428949158,-204.2075046768831,13.511199070126949
108,0.5,0.5,1.0,0.0,127.21479470762682,-266.7541251189407,-176.12538690090804,36.58605648959414
109,0.5,0.5,1.0,0.0,106.17504944782239,-282.31898410172045,-191.6902458836878,15.546311229789694
110,0.5,0.5,1.0,0.0,123.18891314289968,-263.2246403527469,-172.59590213471424,32.56017492486699
111,0.5,0.5,1.0,0.0,128.9663152631952,-264.01049633459826,-173.38175811656558,38.337577045162526
112,0.5,0.5,1.0,0.0,97.45256002892032,-293.49049004720445,-202.86175182917174,6.823821810887637
113,0.5,0.5,1.0,0.0,108.57041632399782,-272.0158110510484,-181.38707283301574,17.94167810596514
114,0.5,0.5,1.0,0.0,115.367798359927,-277.92478658171683,-187.29604836368412,24.7390601418943
115,0.5,0.5,1.0,0.0,118.27910971306288,-273.0703323255104,-182.4415941074777,27.6503714950302
116,0.5,0.5,1.0,0.0,120.37516976672785,-264.12110130595164,-173.492363087919,29.74643154869517
117,0.5,0.5,1.0,0.0,110.73195761838184,-286.50703012130566,-195.87829190327295,20.10321940034916
118,0.5,0.5,1.0,0.0,129.79559967576452,-270.34454685057057,-179.71580863253791,39.16686145773183
119,0.5,0.5,1.0,0.0,137.7804939166376,-254.90680771715353,-164.27806949912082,47.151755698604916
120,0.5,0.5,1.0,0.0,122.83922676826111,-274.19970420901603,-183.57096599098335,32.21048855022844
121,0.5,0.5,1.0,0.0,134.85809163935784,-255.10596523204808,-164.4772270140154,44.22935342132516
122,0.5,0.5,1.0,0.0,114.16291776419668,-282.10051381971533,-191.47177560168262,23.53417954616401
123,0.5,0.5,1.0,0.0,97.50175248159749,-283.6272043928812,-192.99846617484855,6.873014263564826
124,0.5,0.5,1.0,0.0,115.84670170016098,-268.33864116100017,-177.70990294296752,25.217963482128297
125,0.5,0.5,1.0,0.0,106.06610955745563,-291.0313408367015,-200.4026026186688,15.437371339422938
126,0.5,0.5,1.0,0.0,129.40727809182908,-260.6201322072669,-169.99139398923427,38.77853987379641
127,0.5,0.5,1.0,0.0,91.69597281466851,-287.6915080995918,-197.06276988155912,1.0672345966358279
128,0.5,0.5,1.0,0.0,112.62854688414075,-277.1801045831165,-186.55136636508382,21.999808666108052
129,0.5,0.5,1.0,0.0,114.22278900980668,-273.8369751336691,-183.20823691563646,23.59405079177401
130,0.5,0.5,1.0,0.0,127.20075559346552,-263.7672547636731,-173.1385165456404,36.57201737543282
131,0.5,0.5,1.0,0.0,121.08652955093582,-262.4804948912025,-171.85175667316983,30.457791332903142
132,0.5,0.5,1.0,0.0,95.10102662215154,-305.3907697575587,-214.762031539526,4.472288404118856
133,0.5,0.5,1.0,0.0,130.13260176298218,-253.93773114603576,-163.30899292800308,39.5038635449495
134,0.5,0.5,1.0,0.0,121.09255813394267,-267.8794518705989,-177.25071365256622,30.463819915909994
135,0.5,0.5,1.0,0.0,106.11665303915754,-278.70991652606006,-188.08117830802738,15.48791482112486
136,0.5,0.5,1.0,0.0,135.61110039004348,-271.4627513721454,-180.8340131541127,44.98236217201078
137,0.5,0.5,1.0,0.0,111.31026060509717,-267.89799209154904,-177.26925387351636,20.68152238706449
138,0.5,0.5,1.0,0.0,124.54721878071925,-261.1116899172106,-170.48295169917787,33.91848056268656
139,0.5,0.5,1.0,0.0,119.8510432721178,-271.53479783037,-180.90605961233732,29.222305054085126
140,0.5,0.5,1.0,0.0,105.47336325270734,-288.2028266111317,-197.57408839309898,14.844625034674664
141,0.5,0.5,1.0,0.0,120.73132709656869,-266.20860749207276,-175.57986927404005,30.10258887853601
142,0.5,0.5,1.0,0.0,114.78040204202122,-273.97018535985137,-183.3414471418187,24.151663823988542
143,0.5,0.5,1.0,0.0,121.2393165150256,-265.78566440612366,-175.15692618809095,30.610578296992927
144,0.5,0.5,1.0,0.0,109.27872346363516,-275.716925308182,-185.08818709014935,18.649985245602494
145,0.5,0.5,1.0,0.0,116.67422711313398,-276.7442820835682,-186.11554386553547,26.045488895101286
146,0.5,0.5,1.0,0.0,112.44466657357344,-285.75857332040704,-195.12983510237433,21.815928355540763
147,0.5,0.5,1.0,0.0,118.8956712723313,-269.4684708234455,-178.83973260541285,28.266933054298633
148,0.5,0.5,1.0,0.0,110.40007483482502,-277.3116540433419,-186.6829158253092,19.771336616792325
149,0.5,0.5,1.0,0.0,111.52895793293712,-275.69841104744285,-185.0696728294102,20.900219714904438
