,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10
2025-01-01,2904.7077343707606,2564.4072810689445,3017.5086475582953,3065.6202413514766,2333.8496675594547,2498.054090773183,2859.945958410409,2747.56289052149,2823.341849500963,2611.715804481605
2026-01-01,3050.1409139842563,3024.427705995993,2844.3039175947497,3112.86203382233,2945.9051998738323,2610.1345019435425,2920.912597455873,2584.9314535337526,3049.901088405238,2814.9590439060657
