Centroid_ID,Probability
Centroid_1,0.00024444444444444443
Centroid_2,0.0003333333333333333
Centroid_3,0.00022222222222222223
Centroid_4,0.0003111111111111111
Centroid_5,0.00013333333333333334
Centroid_6,0.00024444444444444443
Centroid_7,0.0002888888888888889
Centroid_8,0.00022222222222222223
Centroid_9,0.00024444444444444443
Centroid_10,0.00013333333333333334
Centroid_11,0.00017777777777777779
Centroid_12,0.0002666666666666667
Centroid_13,0.00011111111111111112
Centroid_14,0.00024444444444444443
Centroid_15,0.0004222222222222222
Centroid_16,0.00024444444444444443
Centroid_17,0.00013333333333333334
Centroid_18,0.00017777777777777779
Centroid_19,0.00017777777777777779
Centroid_20,0.00022222222222222223
Centroid_21,0.00015555555555555556
Centroid_22,0.00013333333333333334
Centroid_23,0.00017777777777777779
Centroid_24,8.888888888888889e-05
Centroid_25,0.00024444444444444443
Centroid_26,0.00024444444444444443
Centroid_27,0.00017777777777777779
Centroid_28,8.888888888888889e-05
Centroid_29,0.00037777777777777777
Centroid_30,0.0002
Centroid_31,0.0002
Centroid_32,8.888888888888889e-05
Centroid_33,0.0003111111111111111
Centroid_34,6.666666666666667e-05
Centroid_35,0.0002
Centroid_36,8.888888888888889e-05
Centroid_37,0.00037777777777777777
Centroid_38,0.00013333333333333334
Centroid_39,0.00037777777777777777
Centroid_40,0.00013333333333333334
Centroid_41,0.00022222222222222223
Centroid_42,0.00037777777777777777
Centroid_43,0.0003111111111111111
Centroid_44,0.00011111111111111112
Centroid_45,0.00011111111111111112
Centroid_46,0.00011111111111111112
Centroid_47,0.00017777777777777779
Centroid_48,6.666666666666667e-05
Centroid_49,0.00011111111111111112
Centroid_50,0.0004222222222222222
Centroid_51,0.0003333333333333333
Centroid_52,0.00015555555555555556
Centroid_53,6.666666666666667e-05
Centroid_54,0.0002888888888888889
Centroid_55,0.00024444444444444443
Centroid_56,0.0003333333333333333
Centroid_57,0.0003111111111111111
Centroid_58,0.00015555555555555556
Centroid_59,0.00024444444444444443
Centroid_60,0.00022222222222222223
Centroid_61,0.0003333333333333333
Centroid_62,0.00017777777777777779
Centroid_63,0.0003333333333333333
Centroid_64,0.0002
Centroid_65,0.00035555555555555557
Centroid_66,0.0002666666666666667
Centroid_67,0.00015555555555555556
Centroid_68,0.0003333333333333333
Centroid_69,0.00017777777777777779
Centroid_70,0.00011111111111111112
Centroid_71,0.00017777777777777779
Centroid_72,0.00017777777777777779
Centroid_73,0.00015555555555555556
Centroid_74,0.00011111111111111112
Centroid_75,4.4444444444444447e-05
Centroid_76,6.666666666666667e-05
